census.division.name,CD86,native.reserve,province.name,province,census.division,number.children,number.children.weighted,number.children.census,rank.slope,rank.slope.se,rank.intercept,rank.intercept.se,rank.rsquared,interquartile.income.range,parent.gini,share.between.p25p75,parent.mean.income,child.mean.income,parent.income.p25,child.income.p25,parent.median.income,child.median.income,parent.income.p75,child.income.p75,parent.income.p90,child.income.p90,parent.income.p99,child.income.p99,parent.percent.filing.french,child.percent.filing.french,parent.percent.notmarried,lim.intercept,lim.intercept.se,lim.slope,lim.slope.se,beta.intercept,beta.intercept.se,beta.slope,beta.slope.se,p11,p12,p13,p14,p15,p21,p22,p23,p24,p25,p31,p32,p33,p34,p35,p41,p42,p43,p44,p45,p51,p52,p53,p54,p55,number.parent.quintile.1,number.parent.quintile.2,number.parent.quintile.3,number.parent.quintile.4,number.parent.quintile.5,number.children.quintile.1,number.children.quintile.2,number.children.quintile.3,number.children.quintile.4,number.children.quintile.5,population,population.25up,share.education.lessthan.highschool,share.lone.parents,share.notborn.canada,share.below.lico,share.english.mt,share.french.mt,share.changing.csd,share.changing.cd,share.jobs.topten.sic,share.jobs.primary,share.jobs.manufact
Division No.1,1001,0,NL,10,1001,12912,17072,18085,0.29,0.008,35.5,0.37,0.076,"24,994",0.398,0.492,31410.1,47164.5,15275.2,24313.3,26364.3,40553.4,40269.7,60147.6,58753.9,81786.1,128212.7,177623.7,0.001,0.002,0.256,0.319,0.006,-0.003,0.0001,8.55,0.061,0.194,0.006,0.322,0.26,0.178,0.146,0.093,0.223,0.257,0.211,0.178,0.13,0.173,0.227,0.193,0.224,0.182,0.145,0.174,0.199,0.243,0.238,0.127,0.142,0.182,0.226,0.322,5124,4726,3121,2231,1869,3887,3944,3260,3230,2751,243185,136465,0.714,0.163,0.024,0.212,0.992,0.003,0.123,0.118,0.401,0.046,0.114
Division No.2,1002,0,NL,10,1002,1662,2225,2820,0.148,0.024,41.9,1.03,0.016,"19,464",0.365,0.512,27202.5,44451.8,14573.7,25370.8,24032.9,39952.3,34038.1,59844.7,49149.2,79823.8,104439.5,118220.8,0.001,0.001,0.21,0.238,0.015,-0.001,0.0004,9.67,0.171,0.084,0.017,0.262,0.271,0.17,0.172,0.124,0.173,0.243,0.237,0.182,0.165,0.19,0.234,0.201,0.195,0.181,0.157,0.186,0.209,0.238,0.209,0.121,0.218,0.226,0.202,0.234,733,710,440,202,140,455,547,453,414,356,30185,15630,0.841,0.122,0.006,0.242,0.998,0.002,0.082,0.08,0.609,0.088,0.321
Division No.3,1003,0,NL,10,1003,1629,2188,2415,0.244,0.027,32.3,1.06,0.037,"16,678",0.312,0.554,25732.9,38577.5,15656.1,20993.2,24119.2,35202.9,32333.6,51974.1,42948.2,69354.9,82601,112548.3,0,0,0.204,0.325,0.018,-0.002,0.0004,8.48,0.217,0.186,0.022,0.381,0.256,0.187,0.125,0.052,0.256,0.27,0.222,0.172,0.08,0.208,0.239,0.197,0.192,0.164,0.261,0.246,0.188,0.159,0.145,0.208,0.139,0.167,0.264,0.222,658,853,434,166,78,637,551,437,350,213,25715,13415,0.857,0.104,0.004,0.227,0.999,0.001,0.055,0.054,0.667,0.109,0.309
Division No.4,1004,0,NL,10,1004,1513,2161,2450,0.321,0.023,33.3,0.9,0.08,"22,389",0.441,0.362,22966.3,41831,9861.4,20253.8,17985.3,36705.8,32250.7,56092.1,47437.8,75017.9,97444.3,131908.4,0,0.001,0.25,0.375,0.015,-0.004,0.0004,8.74,0.151,0.17,0.016,0.357,0.254,0.171,0.131,0.088,0.273,0.207,0.194,0.212,0.114,0.181,0.19,0.208,0.257,0.164,0.143,0.177,0.184,0.184,0.313,0.114,0.181,0.181,0.238,0.286,1048,526,287,172,128,627,480,394,373,286,27180,14225,0.819,0.191,0.01,0.378,0.976,0.041,0.13,0.128,0.454,0.139,0.105
Division No.5,1005,0,NL,10,1005,2526,3288,3640,0.228,0.018,38.3,0.85,0.046,"22,856",0.369,0.533,30330.2,46132.7,15899.2,25541.2,26377.2,41398.9,38755.5,59831.6,57892.3,77649.1,98779.3,160633.5,0.001,0.002,0.241,0.286,0.013,-0.002,0.0003,8.86,0.143,0.163,0.014,0.285,0.284,0.168,0.181,0.082,0.199,0.248,0.225,0.198,0.13,0.161,0.214,0.229,0.207,0.189,0.174,0.145,0.203,0.267,0.212,0.141,0.21,0.178,0.225,0.246,931,982,665,368,342,692,770,666,678,482,45405,25310,0.758,0.143,0.015,0.212,0.993,0.004,0.108,0.105,0.407,0.066,0.151
Division No.6,1006,0,NL,10,1006,2048,2635,3305,0.27,0.019,36.4,1.03,0.071,"27,599",0.363,0.536,35971.6,47862.1,19766.9,26886.4,31913.7,41705.5,47365.5,62425.6,66770.3,82928.6,123999.3,160567.3,0,0,0.22,0.287,0.015,-0.002,0.0003,8.45,0.151,0.206,0.015,0.329,0.292,0.16,0.134,0.085,0.174,0.287,0.215,0.164,0.16,0.156,0.242,0.211,0.187,0.204,0.155,0.205,0.161,0.218,0.261,0.128,0.162,0.193,0.223,0.293,550,654,555,445,432,519,643,496,475,501,40425,22510,0.759,0.136,0.016,0.211,0.992,0.004,0.147,0.144,0.424,0.042,0.106
Division No.7,1007,0,NL,10,1007,2268,3179,3425,0.287,0.023,34.8,0.83,0.046,"16,270",0.344,0.468,23036.1,42257.3,13096.6,23020.6,20382.2,36020.3,29366.9,55504.6,39960.7,74781,75556.5,138736.7,0,0.001,0.218,0.306,0.013,-0.003,0.0004,8.81,0.144,0.166,0.015,0.335,0.298,0.173,0.109,0.085,0.217,0.274,0.194,0.167,0.148,0.135,0.293,0.179,0.194,0.199,0.138,0.204,0.263,0.197,0.197,0.184,0.241,0.103,0.207,0.264,1256,1172,466,187,98,789,903,590,459,439,43435,24800,0.832,0.123,0.007,0.287,0.998,0.001,0.104,0.102,0.528,0.101,0.232
Division No.8,1008,0,NL,10,1008,3110,4437,4855,0.28,0.021,35.1,0.67,0.04,"13,995",0.343,0.402,21137.9,41260.3,12395.1,22955.7,18631.6,36130.5,26390.5,53698.6,36689.6,72506.5,73663.4,127382,0.002,0.002,0.21,0.288,0.011,-0.003,0.0003,8.83,0.124,0.163,0.013,0.31,0.287,0.179,0.143,0.081,0.201,0.301,0.206,0.166,0.127,0.164,0.226,0.177,0.244,0.19,0.176,0.245,0.189,0.189,0.201,0.11,0.229,0.229,0.193,0.239,2017,1636,475,190,120,1092,1261,850,722,512,53930,28415,0.852,0.096,0.005,0.308,0.999,0.001,0.102,0.1,0.569,0.234,0.18
Division No.9,1009,0,NL,10,1009,1635,2342,2415,0.206,0.03,38.5,0.99,0.02,"12,868",0.293,0.419,22164.9,41892,14344.2,24115.9,19388.4,37008,27212.6,55351.4,37059.7,72822,67426.7,112232.9,0,0.004,0.25,0.271,0.016,-0.002,0.0005,8.95,0.198,0.154,0.02,0.276,0.282,0.169,0.164,0.109,0.201,0.302,0.207,0.197,0.093,0.112,0.277,0.207,0.207,0.198,0.165,0.253,0.253,0.165,0.165,0.128,0.213,0.213,0.191,0.255,959,929,293,106,55,522,671,450,421,279,25880,13320,0.834,0.117,0.005,0.18,0.998,0.002,0.078,0.078,0.634,0.243,0.203
Division No.10,1010,0,NL,10,1010,1615,2074,2585,0.303,0.02,35.8,1.12,0.097,"32,553",0.369,0.461,36225.8,48656.4,16265.5,26136.7,33802.3,44122.5,48818.6,63860.9,72348.4,83061.9,98289.9,142291.7,0.015,0.012,0.283,0.272,0.016,-0.002,0.0003,7.58,0.191,0.291,0.019,0.311,0.268,0.189,0.167,0.065,0.197,0.249,0.216,0.182,0.156,0.149,0.185,0.221,0.263,0.182,0.1,0.146,0.186,0.269,0.3,0.15,0.124,0.179,0.257,0.29,582,350,393,391,358,414,423,405,457,375,28665,13850,0.732,0.119,0.022,0.153,0.927,0.023,0.127,0.126,0.557,0.232,0.061
