census.division.name,CD86,native.reserve,province.name,province,census.division,number.children,number.children.weighted,rank.slope,rank.slope.se,rank.intercept,rank.intercept.se,rank.rsquared,interquartile.income.range,parent.gini,share.between.p25p75,parent.mean.income,child.mean.income,parent.income.p25,child.income.p25,parent.median.income,child.median.income,parent.income.p75,child.income.p75,parent.income.p90,child.income.p90,parent.income.p99,child.income.p99,parent.percent.filing.french,child.percent.filing.french,parent.percent.notmarried,lim.intercept,lim.intercept.se,lim.slope,lim.slope.se,beta.intercept,beta.intercept.se,beta.slope,beta.slope.se
Division No.1,1001,0,NL,10,1001,12666,16763,0.281,0.008,33.5,0.37,0.073,24912,0.398,0.482,31329,37181,15232,20134,26250,33080,40144,48502,58754,64873,127249,123729,0.001,0.002,0.255,0.315,0.006,-0.003,0.0001,8.46,0.058,0.183,0.0058
Division No.2,1002,0,NL,10,1002,1640,2197,0.174,0.024,36.1,1.02,0.023,19478,0.365,0.506,27114,34427,14490,19566,24031,30939,33968,45321,48400,61278,104440,96181,0.001,0.005,0.212,0.292,0.016,-0.002,0.0004,9.34,0.167,0.091,0.0167
Division No.3,1003,0,NL,10,1003,1638,2206,0.205,0.027,30.7,1.05,0.026,16817,0.315,0.546,25579,30972,15488,16963,23993,27061,32305,42195,42956,56416,82521,89115,0.000,0.003,0.203,0.363,0.018,-0.003,0.0005,8.62,0.203,0.151,0.0204
Division No.4,1004,0,NL,10,1004,1487,2126,0.301,0.024,32.5,0.93,0.069,22236,0.441,0.358,22948,33962,9854,16519,17996,30162,32090,47507,47438,61258,97444,103852,0.000,0.003,0.258,0.386,0.015,-0.004,0.0004,8.55,0.149,0.171,0.0154
Division No.5,1005,0,NL,10,1005,2480,3228,0.245,0.018,35.1,0.86,0.053,22558,0.370,0.524,30222,36831,15862,20411,26255,32973,38420,48474,57959,62366,100526,113310,0.001,0.006,0.237,0.291,0.013,-0.002,0.0003,8.62,0.130,0.168,0.0129
Division No.6,1006,0,NL,10,1006,2023,2607,0.300,0.019,32.4,1.04,0.086,27525,0.361,0.533,35939,38142,19831,21425,31905,34162,47356,50729,66635,66085,123070,115061,0.000,0.004,0.219,0.318,0.015,-0.003,0.0003,8.06,0.150,0.223,0.0146
Division No.7,1007,0,NL,10,1007,2245,3147,0.272,0.023,33.2,0.83,0.042,16109,0.344,0.463,23041,34089,13175,19145,20354,29915,29284,45108,39965,60222,75454,99242,0.000,0.003,0.220,0.296,0.013,-0.002,0.0004,8.58,0.140,0.169,0.0143
Division No.8,1008,0,NL,10,1008,3056,4364,0.256,0.021,33.0,0.68,0.033,13990,0.340,0.401,21082,32954,12400,18480,18649,28914,26391,43406,36578,59102,72066,98682,0.002,0.003,0.210,0.294,0.011,-0.003,0.0003,8.76,0.119,0.149,0.0122
Division No.9,1009,0,NL,10,1009,1617,2317,0.238,0.030,34.5,1.01,0.026,12853,0.291,0.416,22041,33454,14248,18817,19388,30333,27101,45231,36877,59233,66929,85560,0.000,0.002,0.249,0.288,0.016,-0.002,0.0005,8.59,0.203,0.167,0.0206
Division No.10,1010,0,NL,10,1010,1595,2043,0.309,0.020,33.9,1.12,0.102,32454,0.368,0.453,36164,39080,16266,22271,33847,36580,48720,51721,71636,67786,97870,104597,0.016,0.020,0.283,0.233,0.016,-0.002,0.0003,8.07,0.170,0.227,0.0166
