census.division.name,CD86,native.reserve,province.name,province,census.division,number.children,number.children.weighted,number.children.census,rank.slope,rank.slope.se,rank.intercept,rank.intercept.se,rank.rsquared,interquartile.income.range,parent.gini,share.between.p25p75,parent.mean.income,child.mean.income,parent.income.p25,child.income.p25,parent.median.income,child.median.income,parent.income.p75,child.income.p75,parent.income.p90,child.income.p90,parent.income.p99,child.income.p99,parent.percent.filing.french,child.percent.filing.french,parent.percent.notmarried,lim.intercept,lim.intercept.se,lim.slope,lim.slope.se,beta.intercept,beta.intercept.se,beta.slope,beta.slope.se,p11,p12,p13,p14,p15,p21,p22,p23,p24,p25,p31,p32,p33,p34,p35,p41,p42,p43,p44,p45,p51,p52,p53,p54,p55,number.parent.quintile.1,number.parent.quintile.2,number.parent.quintile.3,number.parent.quintile.4,number.parent.quintile.5,number.children.quintile.1,number.children.quintile.2,number.children.quintile.3,number.children.quintile.4,number.children.quintile.5,population,population.25up,share.education.lessthan.highschool,share.lone.parents,share.notborn.canada,share.below.lico,share.english.mt,share.french.mt,share.changing.csd,share.changing.cd,share.jobs.topten.sic,share.jobs.primary,share.jobs.manufact,rank.share.above.parents
Division No.1,1001,0,NL,10,1001,25329,34660,37020,0.282,0.005,35.6,0.26,0.073,24669,0.398,0.485,32792,48589,16263,25163,27119,41524,40933,61607,60330,83941,140314,185603,0.002,0.002,0.231,0.303,0.004,-0.002294,0.00008,8.61,0.044,0.191,0.004,0.32,0.262,0.176,0.146,0.095,0.232,0.25,0.216,0.178,0.124,0.184,0.218,0.204,0.216,0.179,0.148,0.184,0.192,0.235,0.242,0.136,0.138,0.175,0.227,0.324,10478,9430,6390,4452,3911,7987,7929,6681,6496,5567,243185,136465,0.714,0.163,0.024,0.212,0.992,0.003,0.123,0.118,0.401,0.046,0.114,0.6980
Division No.2,1002,0,NL,10,1002,2870,4295,4820,0.179,0.017,39.8,0.72,0.025,19951,0.367,0.489,27752,45197,14757,25397,24103,40147,34708,60351,49335,78852,109010,127455,0.002,0.001,0.205,0.235,0.011,-0.001178,0.000252,9.51,0.121,0.1,0.012,0.27,0.287,0.183,0.162,0.098,0.199,0.252,0.208,0.192,0.149,0.195,0.231,0.195,0.201,0.178,0.175,0.195,0.205,0.223,0.202,0.144,0.203,0.198,0.252,0.203,1482,1372,765,403,273,944,1092,822,825,612,30185,15630,0.841,0.122,0.006,0.242,0.998,0.002,0.082,0.08,0.609,0.088,0.321,0.7384
Division No.3,1003,0,NL,10,1003,2674,3946,4310,0.255,0.019,31.3,0.743,0.043,16703,0.321,0.526,25841,39284,15522,21597,23792,35171,32225,51950,43428,70020,83847,120752,0.001,0.001,0.198,0.321,0.012,-0.002455,0.000323,8.46,0.152,0.19,0.015,0.4,0.265,0.166,0.119,0.05,0.238,0.313,0.227,0.156,0.067,0.206,0.229,0.218,0.202,0.145,0.28,0.256,0.194,0.137,0.133,0.164,0.155,0.19,0.284,0.207,1301,1510,702,286,146,1139,1081,788,596,342,25715,13415,0.857,0.104,0.004,0.227,0.999,0.001,0.055,0.054,0.667,0.109,0.309,0.7095
Division No.4,1004,0,NL,10,1004,3073,4547,4370,0.32,0.017,33.1,0.616,0.076,21248,0.426,0.364,22970,41954,10130,21023,18710,37518,31378,56986,45474,74692,94233,136831,0.003,0.002,0.241,0.347,0.01,-0.003263,0.000265,8.63,0.103,0.183,0.011,0.378,0.229,0.167,0.157,0.068,0.251,0.23,0.189,0.216,0.114,0.168,0.206,0.204,0.259,0.163,0.149,0.201,0.177,0.233,0.24,0.112,0.186,0.197,0.229,0.277,2237,1137,585,362,227,1341,1023,809,859,515,27180,14225,0.819,0.191,0.01,0.378,0.976,0.041,0.13,0.128,0.454,0.139,0.105,0.7732
Division No.5,1005,0,NL,10,1005,5186,6711,6815,0.226,0.013,37.7,0.602,0.046,22784,0.358,0.531,31936,46965,17730,26077,27981,41901,40514,60405,59199,80140,106781,156753,0.002,0.002,0.206,0.272,0.009,-0.001888,0.000185,8.89,0.102,0.162,0.01,0.289,0.285,0.176,0.158,0.092,0.214,0.262,0.203,0.207,0.113,0.154,0.231,0.255,0.192,0.168,0.176,0.171,0.189,0.244,0.22,0.146,0.192,0.168,0.247,0.247,1784,1997,1370,839,721,1429,1622,1338,1350,972,45405,25310,0.758,0.143,0.015,0.212,0.993,0.004,0.108,0.105,0.407,0.066,0.151,0.7048
Division No.6,1006,0,NL,10,1006,4047,5346,6080,0.263,0.013,35.9,0.717,0.068,27183,0.362,0.517,36737,48552,20356,27011,32133,42006,47538,63718,67694,83324,128020,165709,0.002,0.001,0.201,0.286,0.01,-0.002201,0.000189,8.51,0.112,0.201,0.011,0.311,0.291,0.174,0.129,0.094,0.217,0.277,0.197,0.161,0.147,0.141,0.256,0.198,0.201,0.204,0.15,0.214,0.162,0.218,0.254,0.13,0.171,0.176,0.25,0.273,1150,1360,1090,889,857,1088,1340,977,974,967,40425,22510,0.759,0.136,0.016,0.211,0.992,0.004,0.147,0.144,0.424,0.042,0.106,0.6484
Division No.7,1007,0,NL,10,1007,4145,6512,6090,0.242,0.016,35,0.556,0.034,16194,0.344,0.437,23011,42165,13068,23196,20469,36144,29262,54509,40044,74215,76905,142764,0,0.001,0.194,0.287,0.009,-0.002097,0.000257,9.16,0.103,0.13,0.01,0.328,0.297,0.17,0.128,0.078,0.225,0.29,0.199,0.169,0.116,0.176,0.27,0.204,0.167,0.183,0.153,0.244,0.218,0.221,0.164,0.196,0.203,0.162,0.196,0.243,2808,2301,833,374,196,1694,1866,1229,980,743,43435,24800,0.832,0.123,0.007,0.287,0.998,0.001,0.104,0.102,0.528,0.101,0.232,0.7718
Division No.8,1008,0,NL,10,1008,5655,9002,8405,0.243,0.015,36,0.474,0.029,14091,0.331,0.385,21372,42475,12759,23420,19037,36360,26850,55241,37387,75807,70388,129813,0.002,0.002,0.186,0.269,0.007,-0.001941,0.000232,9.14,0.09,0.133,0.009,0.3,0.299,0.172,0.142,0.087,0.227,0.295,0.195,0.162,0.121,0.186,0.229,0.192,0.226,0.166,0.169,0.237,0.193,0.193,0.207,0.154,0.205,0.218,0.199,0.224,4297,3164,924,418,199,2316,2560,1641,1437,1048,53930,28415,0.852,0.096,0.005,0.308,0.999,0.001,0.102,0.1,0.569,0.234,0.18,0.8013
Division No.9,1009,0,NL,10,1009,3100,4976,4470,0.215,0.02,36.2,0.662,0.023,12510,0.291,0.405,22577,41451,14870,23475,19710,36683,27381,54638,37670,72891,72667,116702,0,0.003,0.225,0.294,0.011,-0.00216,0.000331,8.97,0.143,0.15,0.014,0.309,0.284,0.173,0.14,0.093,0.231,0.293,0.207,0.176,0.093,0.14,0.277,0.208,0.236,0.14,0.16,0.302,0.207,0.148,0.183,0.089,0.19,0.278,0.203,0.241,2177,1855,599,237,109,1274,1416,949,819,517,25880,13320,0.834,0.117,0.005,0.18,0.998,0.002,0.078,0.078,0.634,0.243,0.203,0.7827
Division No.10,1010,0,NL,10,1010,2915,4061,4645,0.302,0.014,35.1,0.769,0.097,30695,0.369,0.453,35303,48236,16417,26240,32630,44123,47112,63490,67775,83062,105601,143887,0.017,0.015,0.255,0.291,0.011,-0.002252,0.000212,7.99,0.133,0.252,0.013,0.343,0.249,0.205,0.138,0.065,0.198,0.244,0.218,0.222,0.117,0.154,0.175,0.234,0.259,0.178,0.117,0.155,0.189,0.275,0.264,0.14,0.133,0.188,0.238,0.3,1219,717,778,732,615,867,823,837,868,667,28665,13850,0.732,0.119,0.022,0.153,0.927,0.023,0.127,0.126,0.557,0.232,0.061,0.6895
