census.division.name,CD86,province.name,province,census.division,number.children,number.children.weighted,rank.slope,rank.slope.se,rank.intercept,rank.intercept.se,rank.rsquared,interquartile.income.range,parent.gini,share.between.p25p75,parent.mean.income,child.mean.income,parent.income.p25,child.income.p25,parent.median.income,child.median.income,parent.income.p75,child.income.p75,parent.income.p90,child.income.p90,parent.income.p99,child.income.p99,parent.percent.filing.french,child.percent.filing.french,parent.percent.notmarried,lim.intercept,lim.intercept.se,lim.slope,lim.slope.se,beta.intercept,beta.intercept.se,beta.slope,beta.slope.se,p11,p12,p13,p14,p15,p21,p22,p23,p24,p25,p31,p32,p33,p34,p35,p41,p42,p43,p44,p45,p51,p52,p53,p54,p55,number.parent.quintile.1,number.parent.quintile.2,number.parent.quintile.3,number.parent.quintile.4,number.parent.quintile.5,number.children.quintile.1,number.children.quintile.2,number.children.quintile.3,number.children.quintile.4,number.children.quintile.5
Division No.1,1001,NL,10,1001,13544,16123,0.285,0.008,34.9,0.4,0.072,23942,0.400,0.477,31582,47617,15667,24343,26193,40589,39609,60571,59014,83317,135456,176532,0.001,0.002,0.231,0.222,0.005,-0.002,0.0001,8.50,0.067,0.198,0.0066,0.333,0.256,0.176,0.142,0.093,0.231,0.252,0.218,0.176,0.122,0.193,0.213,0.207,0.214,0.173,0.159,0.189,0.179,0.227,0.245,0.140,0.146,0.165,0.225,0.324,5163,4421,2906,1938,1694,3888,3715,3083,2940,2496
Division No.2,1002,NL,10,1002,1731,2314,0.197,0.024,38.7,1.0,0.029,19447,0.373,0.482,27129,44293,14288,25178,23720,39913,33735,59824,47365,78851,121124,129630,0.003,0.000,0.206,0.166,0.012,-0.001,0.0003,9.41,0.168,0.108,0.0169,0.277,0.287,0.200,0.152,0.085,0.195,0.253,0.204,0.202,0.146,0.193,0.223,0.211,0.178,0.196,0.190,0.177,0.197,0.204,0.231,0.172,0.197,0.197,0.238,0.197,841,749,404,177,144,528,579,464,421,323
Division No.3,1003,NL,10,1003,1554,2040,0.291,0.026,29.6,1.0,0.057,16462,0.327,0.508,25201,38201,15009,21204,23147,35209,31470,50346,42004,67005,87964,112548,0.001,0.001,0.201,0.280,0.015,-0.003,0.0004,7.92,0.212,0.242,0.0214,0.429,0.263,0.157,0.108,0.042,0.225,0.310,0.248,0.151,0.067,0.191,0.238,0.232,0.211,0.128,0.196,0.280,0.271,0.140,0.112,0.176,0.132,0.235,0.294,0.162,719,765,349,131,77,594,557,434,301,153
Division No.4,1004,NL,10,1004,1793,2373,0.336,0.023,31.7,0.8,0.081,19868,0.440,0.329,21407,40676,8824,20392,17141,34803,28692,55183,43966,72462,88363,141452,0.003,0.001,0.250,0.276,0.012,-0.003,0.0003,8.61,0.139,0.183,0.0145,0.389,0.231,0.174,0.144,0.061,0.258,0.256,0.172,0.201,0.113,0.179,0.202,0.202,0.274,0.143,0.148,0.208,0.134,0.248,0.262,0.119,0.208,0.228,0.208,0.238,1252,597,255,161,107,741,563,412,417,240
Division No.5,1005,NL,10,1005,2948,3348,0.233,0.018,36.9,0.8,0.047,21312,0.359,0.526,30548,45884,17222,25700,26763,41024,38533,59509,55793,77668,106285,156753,0.001,0.001,0.206,0.191,0.011,-0.002,0.0002,8.96,0.143,0.154,0.0142,0.272,0.309,0.181,0.150,0.087,0.224,0.261,0.212,0.195,0.108,0.169,0.219,0.257,0.187,0.167,0.176,0.176,0.179,0.258,0.212,0.139,0.191,0.178,0.254,0.238,935,1065,643,402,304,726,835,688,651,450
Division No.6,1006,NL,10,1006,2262,2642,0.261,0.019,36.3,1.0,0.066,26993,0.365,0.510,34937,48130,18907,26922,30789,41708,45900,63651,64608,82847,121480,160530,0.003,0.000,0.202,0.210,0.012,-0.002,0.0002,8.50,0.157,0.202,0.0154,0.304,0.286,0.175,0.129,0.107,0.219,0.268,0.210,0.151,0.151,0.151,0.232,0.195,0.211,0.211,0.147,0.235,0.164,0.213,0.240,0.111,0.175,0.181,0.269,0.264,641,679,523,419,380,541,662,491,480,468
Division No.7,1007,NL,10,1007,2456,3436,0.216,0.022,35.2,0.8,0.027,16047,0.343,0.415,22353,41278,12733,22774,19820,35632,28779,53446,38483,72496,76625,138653,0.000,0.001,0.197,0.205,0.011,-0.002,0.0003,9.16,0.146,0.128,0.0149,0.336,0.292,0.172,0.124,0.075,0.210,0.295,0.209,0.179,0.107,0.185,0.279,0.210,0.163,0.163,0.167,0.257,0.208,0.243,0.125,0.220,0.207,0.159,0.146,0.268,1556,1169,436,179,97,911,988,660,524,353
Division No.8,1008,NL,10,1008,3469,4921,0.261,0.020,35.5,0.6,0.033,14109,0.334,0.368,20696,42210,12187,23744,18426,36419,26295,54530,35687,73852,70388,130121,0.003,0.001,0.187,0.195,0.009,-0.002,0.0003,9.10,0.122,0.137,0.0126,0.292,0.303,0.177,0.144,0.084,0.223,0.300,0.203,0.159,0.116,0.182,0.249,0.198,0.217,0.153,0.153,0.233,0.199,0.182,0.233,0.163,0.185,0.185,0.196,0.272,2463,1686,458,213,102,1233,1451,923,769,545
Division No.9,1009,NL,10,1009,1859,2657,0.228,0.029,37.1,0.9,0.024,12635,0.288,0.406,21927,42546,14181,24585,19544,37206,26817,55623,36728,74393,66929,113160,0.000,0.002,0.215,0.181,0.012,-0.002,0.0004,9.12,0.194,0.138,0.0197,0.304,0.284,0.173,0.142,0.098,0.201,0.304,0.201,0.193,0.101,0.117,0.298,0.234,0.211,0.140,0.078,0.344,0.200,0.122,0.256,0.111,0.139,0.222,0.222,0.306,1195,986,323,111,42,622,783,509,447,296
Division No.10,1010,NL,10,1010,1721,2129,0.322,0.020,33.7,1.0,0.109,30449,0.378,0.441,34028,46504,15678,25412,30040,43723,46127,62457,65036,81785,104743,128996,0.018,0.012,0.262,0.245,0.014,-0.002,0.0003,7.74,0.183,0.273,0.0180,0.368,0.241,0.193,0.133,0.064,0.211,0.221,0.231,0.221,0.116,0.134,0.183,0.245,0.239,0.199,0.120,0.144,0.182,0.296,0.258,0.147,0.147,0.174,0.256,0.276,695,388,358,390,298,486,423,434,449,336
