census.division.name,CD86,province.name,province,census.division,number.children,number.children.weighted,rank.slope,rank.slope.se,rank.intercept,rank.intercept.se,rank.rsquared,interquartile.income.range,parent.gini,share.between.p25p75,parent.mean.income,child.mean.income,parent.income.p25,child.income.p25,parent.median.income,child.median.income,parent.income.p75,child.income.p75,parent.income.p90,child.income.p90,parent.income.p99,child.income.p99,parent.percent.filing.french,child.percent.filing.french,parent.percent.notmarried,lim.intercept,lim.intercept.se,lim.slope,lim.slope.se,beta.intercept,beta.intercept.se,beta.slope,beta.slope.se,p11,p12,p13,p14,p15,p21,p22,p23,p24,p25,p31,p32,p33,p34,p35,p41,p42,p43,p44,p45,p51,p52,p53,p54,p55,number.parent.quintile.1,number.parent.quintile.2,number.parent.quintile.3,number.parent.quintile.4,number.parent.quintile.5,number.children.quintile.1,number.children.quintile.2,number.children.quintile.3,number.children.quintile.4,number.children.quintile.5
Division No.1,1001,NL,10,1001,11783,18533,0.278,0.007,36.3,0.4,0.073,25230,0.396,0.492,33851,49435,16833,25752,28075,42376,42062,62455,61667,84535,144595,193730,0.002,0.003,0.232,0.382,0.006,-0.003,0.0001,8.72,0.058,0.182,0.0057,0.304,0.269,0.176,0.152,0.099,0.232,0.249,0.213,0.180,0.126,0.173,0.224,0.199,0.218,0.185,0.137,0.178,0.205,0.243,0.238,0.132,0.129,0.185,0.229,0.324,5310,5009,3484,2514,2217,4099,4213,3593,3556,3072
Division No.2,1002,NL,10,1002,1139,1981,0.157,0.025,41.1,1.1,0.020,20870,0.358,0.497,28480,46253,15392,26024,24699,40914,36262,61208,50531,79401,104797,127455,0.000,0.002,0.203,0.326,0.018,-0.002,0.0004,9.66,0.173,0.088,0.0173,0.259,0.288,0.153,0.179,0.121,0.205,0.251,0.213,0.176,0.155,0.199,0.243,0.173,0.235,0.150,0.159,0.214,0.214,0.241,0.172,0.100,0.213,0.200,0.275,0.213,641,623,361,226,130,416,514,358,404,289
Division No.3,1003,NL,10,1003,1120,1906,0.214,0.028,33.3,1.1,0.029,16925,0.314,0.545,26526,40443,16244,22109,24622,34932,33169,53193,45140,72181,83189,130075,0.001,0.000,0.195,0.375,0.020,-0.002,0.0005,9.13,0.218,0.126,0.0218,0.353,0.267,0.182,0.137,0.062,0.255,0.316,0.200,0.163,0.066,0.226,0.217,0.199,0.190,0.167,0.365,0.231,0.115,0.135,0.154,0.146,0.188,0.125,0.271,0.271,583,746,353,155,70,544,524,354,295,189
Division No.4,1004,NL,10,1004,1280,2174,0.295,0.024,35.0,0.9,0.067,22477,0.408,0.402,24675,43350,11296,21785,20214,39539,33774,58864,47084,76470,97444,129892,0.002,0.003,0.229,0.441,0.016,-0.004,0.0004,8.71,0.157,0.178,0.0160,0.360,0.227,0.156,0.178,0.079,0.239,0.191,0.215,0.239,0.115,0.156,0.211,0.206,0.243,0.183,0.151,0.194,0.223,0.216,0.216,0.103,0.161,0.161,0.253,0.322,985,540,330,201,119,600,460,397,442,276
Division No.5,1005,NL,10,1005,2238,3363,0.216,0.017,38.6,0.9,0.044,23794,0.355,0.536,33318,48041,18360,26423,29398,42806,42154,61559,62428,82010,107277,156753,0.002,0.003,0.206,0.367,0.014,-0.003,0.0003,8.83,0.146,0.170,0.0143,0.311,0.251,0.170,0.170,0.098,0.200,0.263,0.189,0.226,0.122,0.137,0.246,0.252,0.196,0.169,0.177,0.164,0.202,0.227,0.230,0.154,0.192,0.158,0.240,0.257,849,931,728,438,417,703,787,651,699,522
Division No.6,1006,NL,10,1006,1784,2703,0.267,0.019,35.3,1.0,0.070,28213,0.357,0.523,38492,48974,21453,27028,33045,42264,49666,63722,70186,83878,133923,170264,0.002,0.002,0.201,0.377,0.016,-0.003,0.0003,8.51,0.159,0.200,0.0154,0.322,0.300,0.174,0.130,0.074,0.215,0.290,0.180,0.174,0.142,0.129,0.284,0.203,0.188,0.195,0.155,0.187,0.161,0.225,0.272,0.150,0.168,0.171,0.229,0.282,509,681,567,468,478,547,677,486,494,499
Division No.7,1007,NL,10,1007,1689,3076,0.267,0.023,35.0,0.8,0.042,16324,0.344,0.462,23745,43156,13445,23510,21533,36649,29769,56066,41446,76358,77214,155586,0.001,0.001,0.191,0.387,0.014,-0.003,0.0004,9.17,0.144,0.131,0.0147,0.313,0.307,0.165,0.133,0.082,0.247,0.284,0.186,0.156,0.128,0.164,0.258,0.195,0.172,0.211,0.136,0.229,0.229,0.195,0.212,0.167,0.197,0.167,0.258,0.212,1252,1133,398,195,99,783,878,569,456,390
Division No.8,1008,NL,10,1008,2186,4081,0.223,0.022,36.6,0.7,0.025,14259,0.327,0.406,22187,42794,13388,23073,19629,36306,27647,56441,38542,76968,70860,128688,0.002,0.003,0.185,0.370,0.012,-0.003,0.0004,9.21,0.134,0.127,0.0136,0.314,0.292,0.164,0.139,0.092,0.233,0.289,0.183,0.167,0.127,0.191,0.202,0.184,0.238,0.184,0.193,0.244,0.185,0.210,0.168,0.141,0.234,0.266,0.203,0.156,1834,1478,466,205,97,1083,1108,718,668,503
Division No.9,1009,NL,10,1009,1240,2318,0.210,0.028,35.0,1.0,0.024,12407,0.293,0.403,23321,40213,15486,22854,19893,35671,27893,53342,39152,71602,73001,118030,0.001,0.004,0.239,0.436,0.018,-0.003,0.0005,8.75,0.210,0.168,0.0211,0.317,0.285,0.173,0.138,0.086,0.273,0.277,0.217,0.151,0.081,0.174,0.244,0.169,0.273,0.140,0.253,0.253,0.215,0.177,0.101,0.070,0.233,0.326,0.186,0.186,982,868,276,126,67,651,633,440,373,221
Division No.10,1010,NL,10,1010,1194,1932,0.277,0.021,36.8,1.1,0.083,30982,0.358,0.466,36707,50145,17252,27447,34354,45044,48234,64301,72018,83925,105601,162253,0.016,0.018,0.245,0.354,0.018,-0.002,0.0003,8.34,0.193,0.220,0.0188,0.300,0.263,0.227,0.146,0.065,0.177,0.281,0.198,0.224,0.120,0.176,0.166,0.221,0.280,0.156,0.113,0.172,0.201,0.243,0.272,0.132,0.115,0.207,0.216,0.330,524,329,419,343,317,381,399,403,419,331
Kings County,1101,PE,11,1101,829,1349,0.240,0.032,36.2,1.2,0.040,17237,0.334,0.480,25452,44299,14310,25467,22614,37287,31547,55858,43443,74638,89810,168379,0.001,0.004,0.226,0.415,0.023,-0.003,0.0006,9.49,0.244,0.101,0.0245,0.245,0.368,0.175,0.141,0.071,0.220,0.304,0.204,0.173,0.099,0.166,0.238,0.199,0.245,0.152,0.127,0.200,0.236,0.218,0.218,0.171,0.220,0.146,0.220,0.244,510,470,224,87,58,294,418,250,235,151
