census.subdivision,census.division,province.name,province,CSD1986_ID,number.children,number.children.weighted,rank.slope,rank.slope.se,rank.intercept,rank.intercept.se,rank.rsquared,interquartile.income.range,parent.gini,share.between.p25p75,parent.mean.income,child.mean.income,parent.income.p25,child.income.p25,parent.median.income,child.median.income,parent.income.p75,child.income.p75,parent.income.p90,child.income.p90,parent.income.p99,child.income.p99,parent.percent.filing.french,child.percent.filing.french,parent.percent.notmarried,lim.intercept,lim.intercept.se,lim.slope,lim.slope.se,beta.intercept,beta.intercept.se,beta.slope,beta.slope.se
105,1,NL,10,1001105,59,90,0.18,0.131,35.8,5.28,0.021,20278,0.287,0.626,26732,40733,14700,24543,27083,37222,34978,54954,45396,68643,85430,102736,0,0,0.254,0.191,0.084,0,0.002,8.9,0.952,0.15,0.095
109,1,NL,10,1001109,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
113,1,NL,10,1001113,164,242,0.242,0.093,40,3.58,0.027,16666,0.305,0.635,25611,47892,15795,23721,25269,42468,32461,66719,41546,86288,64016,139234,0.006,0.006,0.25,0.199,0.048,-0.001,0.001,9.5,0.487,0.107,0.049
120,1,NL,10,1001120,36,57,0.016,0.191,50.6,7.34,0,15475,0.219,0.602,26601,47033,18224,37146,23669,48091,33699,59892,43732,71751,52676,95414,0.25,0,0.278,0.131,0.107,0,0.003,9.6,2.482,0.098,0.246
124,1,NL,10,1001124,269,445,0.255,0.062,37.7,2.41,0.036,15452,0.302,0.566,25977,46280,17320,24106,23500,42348,32771,58924,39603,75278,93208,154743,0,0,0.271,0.291,0.038,-0.002,0.001,8.8,0.453,0.172,0.045
131,1,NL,10,1001131,44,75,-0.106,0.147,55.9,4.87,0.007,11338,0.33,0.403,21742,50774,15484,35021,17813,49816,26822,61380,31034,72195,66842,130456,0,0,0.341,-0.01,0.051,0.003,0.002,10.9,0.79,-0.02,0.081
136,1,NL,10,1001136,79,135,0.19,0.123,48.9,4.38,0.018,20505,0.281,0.463,23871,54410,12174,33391,21173,46833,32679,70359,43945,87757,58460,162201,0,0,0.228,0.277,0.057,-0.004,0.002,9.1,1.17,0.168,0.117
140,1,NL,10,1001140,8,12,-0.232,0.225,71.5,9.97,0.097,17540,0.179,0.758,30763,55266,26404,49395,31774,51775,43945,59014,44026,77655,44026,77655,0,0,0.25,0,0,0,0,12.8,1.75,-0.185,0.17
144,1,NL,10,1001144,16,29,0.167,0.32,51,8.84,0.01,9333,0.315,0.181,17579,63105,10881,30199,13150,47637,20214,90458,31436,100499,57197,224717,0,0,0.563,0.115,0.075,-0.002,0.003,9.3,2.532,0.154,0.263
149,1,NL,10,1001149,83,139,-0.182,0.118,53.6,3.81,0.017,14222,0.335,0.319,20555,47101,10684,27870,15114,44238,24906,65195,41713,81113,58374,129767,0.012,0,0.229,0.04,0.052,0.006,0.002,11.9,0.932,-0.137,0.096
155,1,NL,10,1001155,114,189,0.192,0.11,44.3,3.3,0.016,14597,0.375,0.401,18951,48625,10191,26334,18231,45723,24788,60637,37776,80525,61938,125210,0.009,0,0.263,0.193,0.045,-0.001,0.002,10.1,0.509,0.046,0.053
169,1,NL,10,1001169,103,159,0.037,0.104,41.1,4,0.001,21791,0.334,0.548,25011,41526,12084,21818,23936,35671,33875,58272,47530,79270,88586,125278,0,0,0.282,0.313,0.064,-0.001,0.002,9.2,0.731,0.12,0.074
174,1,NL,10,1001174,61,102,0.493,0.176,34.4,4.84,0.073,10859,0.293,0.283,19033,47702,12311,26889,16840,34984,23171,61606,29531,91837,70290,159222,0,0.016,0.23,0.273,0.074,-0.002,0.003,7.6,1.092,0.298,0.113
178,1,NL,10,1001178,95,155,0.54,0.131,34,3.7,0.1,13428,0.311,0.353,19172,44375,12047,23852,16996,41459,25475,65444,33241,77365,48516,110796,0,0,0.368,0.38,0.063,-0.005,0.002,8.3,0.645,0.233,0.067
181,1,NL,10,1001181,45,71,-0.206,0.213,50,6.46,0.013,15156,0.305,0.398,20481,44298,13318,21277,18332,35671,28473,66648,38580,87465,43036,124120,0.022,0,0.356,0.19,0.102,0.005,0.003,12.3,0.978,-0.193,0.101
186,1,NL,10,1001186,35,61,0.63,0.227,30.5,5.27,0.115,18923,0.351,0.29,16058,41097,4063,23190,18623,40989,22987,52724,28988,69761,39024,114617,0,0,0.486,0.306,0.095,-0.005,0.004,9.1,0.72,0.143,0.077
192,1,NL,10,1001192,29,50,0.415,0.205,34.5,6.55,0.079,14306,0.303,0.454,21276,43846,14370,27759,20431,43049,28676,55931,42049,78482,47757,100734,0,0,0.138,0.139,0.084,-0.001,0.003,9.8,1.02,0.071,0.105
203,1,NL,10,1001203,53,92,0.238,0.116,40,4.68,0.045,23237,0.399,0.333,26061,53302,12784,24940,19048,39399,36021,61946,46816,91670,97681,366760,0,0,0.245,0.18,0.07,0.002,0.002,8.9,0.979,0.174,0.099
207,1,NL,10,1001207,39,61,0.243,0.169,42.4,7.35,0.034,19150,0.276,0.358,28689,50317,17997,23272,22708,47501,37147,74992,55509,87555,62381,117364,0,0,0.256,0.322,0.102,-0.003,0.002,7.9,1.772,0.274,0.174
214,1,NL,10,1001214,21,30,-0.162,0.178,61.8,9.56,0.029,31324,0.32,0.616,34817,53090,16992,37509,39172,50501,48316,63936,54674,81750,88702,154316,0,0,0.238,0.115,0.14,0.001,0.003,11.7,1.064,-0.097,0.105
