region,country,country.code,rank.intercept,rank.slope,gini,cluster,number.kids,cluster.2
1001,Canada,0,44.74006029,0.204643246,40.36926368,2,7856.233786,1
1002,Canada,0,50.1549716,0.226850629,33.23897732,1,1090.670093,1
1003,Canada,0,47.47458174,0.295962491,33.23484395,1,816.1336105,1
1004,Canada,0,39.27303741,0.390711879,40.81541883,2,768.1578876,2
1005,Canada,0,43.57677905,0.261708202,37.97421842,2,1375.481763,1
1006,Canada,0,44.47229901,0.244535356,36.39448938,1,1203.541683,1
1007,Canada,0,46.91158968,0.281626516,35.47994613,1,1354.806372,1
1008,Canada,0,48.26610613,0.34363817,32.9149042,1,1597.757933,1
1009,Canada,0,48.67181082,0.302796871,31.31735338,1,770.5651447,1
1010,Canada,0,43.05858766,0.332500064,29.95086701,1,993.7255092,1
1101,Canada,0,41.82524533,0.175817629,35.52290834,2,754.0175917,1
1102,Canada,0,40.8434478,0.177245202,35.53629629,2,1991.400232,1
1103,Canada,0,41.27966192,0.248429246,33.50536716,2,1303.151095,1
1201,Canada,0,39.08238791,0.187087906,34.13106414,,469.8103064,
1202,Canada,0,32.9390992,0.359298429,37.24531406,4,767.6702004,2
1203,Canada,0,35.7553365,0.299071879,39.49713285,2,564.1631287,2
1204,Canada,0,31.94343753,0.383627225,39.58014791,,344.577969,
1205,Canada,0,39.50645983,0.18210119,38.95900038,2,566.6735431,1
1206,Canada,0,38.47139039,0.212953536,37.90988689,2,1382.54526,1
1207,Canada,0,37.6168334,0.254870244,37.27288471,2,1533.605206,2
1208,Canada,0,37.99986751,0.241378221,35.26581052,2,1263.338019,2
1209,Canada,0,35.85993715,0.228456196,38.96391911,2,8227.270502,2
1210,Canada,0,36.94896225,0.246563456,38.37167888,2,1305.847499,2
1211,Canada,0,34.92773257,0.33772087,36.3969586,2,906.3688892,2
1212,Canada,0,39.99483012,0.195434027,39.42607222,2,1518.082748,1
1213,Canada,0,45.63476998,0.261696764,34.69564879,2,393.8187495,1
1214,Canada,0,45.9647679,0.136950383,34.05322662,1,692.2631054,1
1215,Canada,0,42.62660862,0.231653762,38.63954056,1,735.9609089,1
1216,Canada,0,35.61311148,0.386486539,37.00790971,4,352.6807078,2
1217,Canada,0,37.10904574,0.305005109,38.78347498,2,3330.024825,2
1218,Canada,0,37.59337417,0.227900347,37.91625143,2,336.5449671,2
1301,Canada,0,38.2999634,0.246365914,37.4289438,2,1982.871167,1
1302,Canada,0,40.28220552,0.220317038,35.19073072,2,693.0333166,1
1303,Canada,0,38.25471165,0.256932062,30.28529498,2,537.35532,2
1304,Canada,0,45.1025456,0.040544798,32.08079738,1,268.7499278,1
1305,Canada,0,39.66155931,0.244678517,37.42839926,2,2013.127534,1
1306,Canada,0,42.69862484,0.126260969,33.19890326,,932.8741876,
1307,Canada,0,38.20484456,0.282144952,35.71694157,2,3620.139389,2
1308,Canada,0,38.89104985,0.398921044,33.83364099,2,1179.790276,2
1309,Canada,0,37.88733969,0.311392235,39.92585037,2,1770.376284,1
1310,Canada,0,36.6820414,0.273456585,37.05560267,2,1933.70726,2
1311,Canada,0,41.43163745,0.17044154,42.05272501,2,681.3822984,1
1312,Canada,0,40.72559726,0.268569481,38.4974298,2,594.0302992,1
1313,Canada,0,41.69674694,0.277785783,33.56802286,2,958.4539643,1
1314,Canada,0,35.4745987,0.400180577,36.1452191,4,912.3401487,2
1315,Canada,0,37.60699635,0.378781359,37.22616873,2,2964.992287,2
2401,Canada,0,45.75065084,0.22050126,31.51473798,,391.4177746,
2402,Canada,0,34.61368159,0.441998653,35.80577695,,547.1681271,
