parent,cdn.us,cdn.cdn,us.chetty
1,30.57767826,30.94379461,30.11230212
2,35.13969189,35.00777415,31.71731285
3,35.80970275,36.74150153,32.64154432
4,37.18680675,36.45947785,33.65036716
5,37.91569258,37.77412301,34.29631362
6,39.01069995,38.61452555,34.78878537
7,40.18656822,38.29058123,35.3452236
8,41.22406165,38.39675745,35.84636972
9,41.69680975,39.92287473,36.27682947
10,41.84949512,40.66515749,36.46318713
11,42.60227384,39.92335658,37.00207281
12,43.53095779,41.08155227,37.36956275
13,44.29380922,42.11194193,37.77891746
14,44.56739977,42.33767988,38.18512051
15,44.33546248,42.85012846,38.52198463
16,45.02403636,43.82412935,38.68257676
17,45.27325409,43.30011232,39.24782235
18,45.04464177,43.5026504,39.48885116
19,45.67148149,45.14897981,39.78739186
20,46.20656054,45.03475917,40.1262011
21,46.74817476,45.47579059,40.43961653
22,46.79762326,46.36679165,41.01455201
23,47.23706394,45.8237714,41.33043503
24,46.94379506,46.4275315,41.59028165
25,47.2414833,46.41510214,42.07161884
26,47.00764162,47.34934975,42.51165394
27,47.61638462,46.40672732,42.82148793
28,47.71645663,47.2554148,43.1209103
29,47.91039345,47.67070241,43.57548229
30,48.08716151,47.64999976,43.93148543
31,48.85639048,48.62220915,44.39673782
32,48.72725529,48.49181747,44.62569362
33,49.04897843,48.76784043,45.16825816
34,49.4510107,48.71894635,45.50993463
35,49.42475774,48.83278136,45.86361381
36,49.69765347,49.09308796,46.16295133
37,49.87354852,49.12114705,46.77600116
38,49.81889046,48.80455302,47.01079907
39,50.47168969,49.59166494,47.37114982
40,50.31546268,49.38935492,47.73120823
41,50.80421851,49.80559868,48.04008316
42,50.82341797,49.80828405,48.39890086
43,51.51757321,50.00312255,48.68869766
44,51.26071451,50.31946148,48.91583744
45,51.26096748,50.96576804,49.37593972
46,51.40826249,50.35298101,49.58056005
47,52.71185855,50.89110993,49.92945993
48,52.14724336,51.30377696,50.31399433
49,52.35133708,51.41532407,50.72742245
50,53.13350139,51.67164612,50.92901106
51,53.07014367,50.96101188,51.4005601
52,52.72772818,52.16615221,51.62687509
53,53.20570718,51.66159538,51.9314656
54,52.92017876,52.25844147,52.16920168
55,53.39301727,51.60459999,52.58456795
56,53.2783191,53.00388825,52.77183528
57,53.70644431,51.75239429,53.029067
58,53.77875992,52.82295933,53.35164667
59,53.7690517,52.78701738,53.81442734
60,54.54797099,53.0734371,53.91002832
61,54.53893277,52.82367248,54.37669629
62,54.37634734,53.19260286,54.5771731
63,54.27493976,54.22380248,55.00116998
64,54.16233181,53.56018423,55.12932452
65,54.25490971,53.08911181,55.53295503
66,54.77275705,53.97296199,55.86988433
67,54.49061465,53.50692519,55.94048254
68,54.76129414,55.03284737,56.51549584
69,54.98938713,54.56344683,56.64544527
70,55.3947308,54.42845156,57.15300135
71,55.38841788,54.85255891,57.11571394
72,56.06130484,55.27847636,57.72779158
73,55.2440887,55.57918365,57.93592119
74,54.67412946,55.58884764,58.10695361
75,55.88862746,55.07994487,58.48188096
76,55.89638461,55.42886936,58.76837441
77,54.27961937,55.43775023,59.14303798
78,54.62827165,56.1372115,59.33480228
79,55.32671107,55.38285266,59.83997542
80,55.27212758,56.28696902,59.86424359
81,55.03500587,56.18445246,60.15391805
82,55.85781527,56.1634428,60.63672999
83,54.73995555,57.1561092,60.87383038
84,56.21494258,56.96079431,61.32149661
85,54.74697304,56.9038971,61.41283588
86,55.79904511,56.92805684,61.77847949
87,56.46804039,56.85670716,62.29067105
88,55.88500947,57.35911701,62.73245948
89,55.37469685,57.13880625,63.06081081
90,55.95057558,57.77154371,63.28444176
91,54.93600537,58.31254532,63.8912222
92,56.33300617,58.09061613,64.39687766
93,55.86798618,57.99875105,64.7336413
94,56.78117146,57.6621583,65.20643479
95,57.46218415,57.83405125,65.6499011
96,56.64992347,58.21281089,65.8478328
97,56.89638051,58.29669761,66.28269868
98,57.65351285,58.49938797,66.61757429
99,59.47429486,59.26350523,67.22709816
100,60.08392582,60.98282558,68.33363178
