,cdn,cdn.se,us,us.se,na,na.se
Gini coefficient,0.4251,0.0538,0.3455,0.0353,0.3811,0.0294
Fraction single mothers,0.1418,0.0585,0.6406,0.0289,0.4977,0.0275
Fraction divorced,-0.2003,0.0579,0.1581,0.0371,0.1748,0.0312
Fraction married,-0.1895,0.0581,-0.3697,0.0349,-0.1221,0.0315
Fraction black,-0.1396,0.0586,0.6308,0.0292,0.4726,0.0279
Fraction visible minority,-0.1015,0.0588,-0.2602,0.0363,-0.0778,0.0316
Fraction indigenous,0.5197,0.0505,0.0224,0.0376,0.2154,0.031
Fraction white,-0.4752,0.052,-0.2254,0.0366,-0.3572,0.0296
Fraction foreign born,-0.2018,0.058,-0.2473,0.0364,-0.2597,0.0306
Fraction high school dropout,0.4166,0.0538,0.3784,0.0348,0.0087,0.0317
Fraction university degree,-0.2627,0.0571,-0.2629,0.0363,-0.0124,0.0317
Teenage labour force participation,-0.0607,0.0591,-0.516,0.0322,-0.2961,0.031
Unionization rate,0.0906,0.0614,-0.1381,0.0372,-0.2932,0.0307
Manufacturing employment share,-0.1942,0.0581,0.3928,0.0346,0.1652,0.0313
Resource employment share,0.207,0.058,-0.3545,0.0352,-0.1572,0.0313
Gini coefficient,-0.5633,0.0491,-0.5574,0.0312,-0.5827,0.0258
Fraction single mothers,-0.4206,0.0536,-0.7801,0.0235,-0.7266,0.0218
Fraction divorced,-0.09,0.0589,-0.4381,0.0338,-0.4263,0.0287
Fraction married,0.3113,0.0562,0.5572,0.0312,0.2847,0.0304
Fraction black,-0.0809,0.0589,-0.6267,0.0293,-0.5759,0.0259
Fraction visible minority,-0.1184,0.0587,0.0838,0.0375,-0.0345,0.0317
Fraction indigenous,-0.5672,0.0487,-0.1571,0.0371,-0.2413,0.0308
Fraction white,0.5876,0.0478,0.427,0.034,0.5112,0.0272
Fraction foreign born,-0.1225,0.0588,0.0358,0.0376,0.0313,0.0317
Fraction high school dropout,-0.0874,0.0589,-0.4313,0.0339,0.0315,0.0317
Fraction university degree,-0.0602,0.059,0.1258,0.0373,-0.1065,0.0315
Teenage labour force participation,0.032,0.0592,0.6416,0.0288,0.336,0.0304
Unionization rate,-0.087,0.0614,0.0787,0.0375,0.2849,0.0307
Manufacturing employment share,0.0124,0.0592,-0.3073,0.0358,-0.2272,0.0309
Resource employment share,0.2912,0.0567,0.5835,0.0305,0.5107,0.0273
