"","census.division.code","cluster.number"
"1",1001,1
"2",1002,2
"3",1003,1
"4",1004,1
"5",1005,2
"6",1006,2
"7",1007,2
"8",1008,2
"9",1009,2
"10",1010,1
"11",1101,2
"12",1102,2
"13",1103,2
"14",1201,2
"15",1202,1
"16",1203,2
"17",1204,1
"18",1205,1
"19",1206,2
"20",1207,1
"21",1208,2
"22",1209,1
"23",1210,1
"24",1211,1
"25",1212,1
"26",1213,2
"27",1214,1
"28",1215,2
"29",1216,2
"30",1217,1
"31",1218,1
"32",1301,1
"33",1302,2
"34",1303,1
"35",1304,2
"36",1305,2
"37",1306,2
"38",1307,1
"39",1308,1
"40",1309,1
"41",1310,1
"42",1311,1
"43",1312,1
"44",1313,2
"45",1314,1
"46",1315,1
"47",2401,2
"48",2402,2
"49",2403,1
"50",2404,1
"51",2405,1
"52",2406,2
"53",2407,2
"54",2408,2
"55",2409,2
"56",2410,2
"57",2411,2
"58",2412,2
"59",2413,2
"60",2414,1
"61",2415,2
"62",2416,3
"63",2417,2
"64",2420,3
"65",2421,3
"66",2422,2
"67",2423,2
"68",2424,2
"69",2425,2
"70",2426,2
"71",2427,2
"72",2428,2
"73",2429,2
"74",2432,2
"75",2433,2
"76",2434,2
"77",2435,2
"78",2436,1
"79",2437,2
"80",2438,1
"81",2439,2
"82",2440,2
"83",2441,2
"84",2442,2
"85",2443,1
"86",2447,1
"87",2449,2
"88",2450,3
"89",2451,2
"90",2452,2
"91",2453,2
"92",2454,2
"93",2455,2
"94",2456,3
"95",2457,3
"96",2458,2
"97",2461,2
"98",2462,2
"99",2463,2
"100",2464,3
"101",2465,1
"102",2466,3
"103",2467,2
"104",2468,1
"105",2469,2
"106",2470,3
"107",2471,3
"108",2472,2
"109",2473,2
"110",2474,2
"111",2475,2
"112",2476,2
"113",2478,1
"114",2479,1
"115",2480,2
"116",2483,2
"117",2484,3
"118",2490,2
"119",2493,2
"120",2494,2
"121",2497,2
"122",2498,1
"123",3501,1
"124",3502,1
"125",3506,3
"126",3507,2
"127",3509,2
"128",3510,1
"129",3511,2
"130",3512,2
"131",3513,2
"132",3514,3
"133",3515,1
"134",3516,1
"135",3518,3
"136",3519,3
"137",3520,3
"138",3521,3
"139",3522,3
"140",3523,3
"141",3524,3
"142",3525,3
"143",3526,3
"144",3528,2
"145",3529,3
"146",3530,3
"147",3531,3
"148",3532,3
"149",3534,1
"150",3536,2
"151",3537,3
"152",3538,3
"153",3539,3
"154",3540,3
"155",3541,3
"156",3542,1
"157",3543,1
"158",3544,1
"159",3546,2
"160",3547,1
"161",3548,1
"162",3549,2
"163",3551,4
"164",3552,2
"165",3553,3
"166",3554,1
"167",3556,1
"168",3557,3
"169",3558,2
"170",3559,1
"171",3560,4
"172",4601,4
"173",4602,2
"174",4603,1
"175",4604,2
"176",4605,3
"177",4606,1
"178",4607,4
"179",4608,4
"180",4609,1
"181",4610,3
"182",4611,1
"183",4612,1
"184",4613,2
"185",4614,3
"186",4615,1
"187",4616,1
"188",4617,4
"189",4618,4
"190",4619,4
"191",4620,1
"192",4621,4
"193",4622,4
"194",4623,4
"195",4701,3
"196",4702,3
"197",4703,3
"198",4704,2
"199",4705,3
"200",4706,3
"201",4707,3
"202",4708,3
"203",4709,1
"204",4710,3
"205",4711,3
"206",4712,3
"207",4713,3
"208",4714,3
"209",4715,1
"210",4716,1
"211",4717,3
"212",4718,4
"213",4801,3
"214",4802,3
"215",4803,1
"216",4804,3
"217",4805,3
"218",4806,3
"219",4807,3
"220",4808,3
"221",4809,3
"222",4810,3
"223",4811,3
"224",4812,3
"225",4813,3
"226",4814,3
"227",4815,3
"228",4816,3
"229",4817,1
"230",4818,3
"231",4819,3
"232",5901,2
"233",5903,2
"234",5905,2
"235",5907,2
"236",5909,2
"237",5911,2
"238",5913,2
"239",5915,3
"240",5917,2
"241",5919,2
"242",5921,2
"243",5923,2
"244",5925,2
"245",5927,2
"246",5929,2
"247",5931,4
"248",5933,2
"249",5935,3
"250",5937,2
"251",5939,3
"252",5941,1
"253",5943,4
"254",5945,4
"255",5947,4
"256",5949,4
"257",5951,1
"258",5953,2
"259",5955,3
"260",5957,4
"261",6001,1
"262",6104,2
"263",6105,2
"264",6106,1
"265",6107,1
"266",6108,5
