cz,cz.name,state,population.children,rank.intercept,rank.slope,child.mean.income,parent.mean.income,p11,p12,p13,p14,p15,p21,p22,p23,p24,p25,p31,p32,p33,p34,p35,p41,p42,p43,p44,p45,p51,p52,p53,p54,p55, 
100,Johnson City,TN,18494,38.4,0.372,40200,66900,0.39,0.263,0.162,0.122,0.062,0.281,0.24,0.209,0.173,0.097,0.195,0.209,0.21,0.22,0.166,0.138,0.172,0.203,0.258,0.229,0.121,0.13,0.174,0.245,0.33,
200,Morristown,TN,7760,37.8,0.356,36100,56200,0.4,0.26,0.166,0.12,0.054,0.29,0.243,0.201,0.171,0.095,0.189,0.22,0.221,0.227,0.143,0.137,0.175,0.201,0.257,0.23,0.122,0.156,0.195,0.231,0.296,
301,Middlesborough,TN,2217,39,0.376,37200,44500,0.404,0.239,0.157,0.127,0.073,0.292,0.236,0.188,0.175,0.109,0.198,0.222,0.188,0.212,0.181,0.141,0.182,0.214,0.216,0.248,0.116,0.141,0.162,0.253,0.328,
302,Knoxville,TN,23805,37.8,0.373,42500,81200,0.4,0.275,0.157,0.112,0.056,0.286,0.243,0.2,0.168,0.104,0.202,0.203,0.215,0.218,0.163,0.147,0.168,0.201,0.244,0.239,0.129,0.138,0.184,0.229,0.32,
401,Winston-Salem,NC,16103,37,0.389,42800,85400,0.406,0.29,0.159,0.101,0.045,0.279,0.261,0.207,0.155,0.097,0.199,0.21,0.229,0.216,0.146,0.144,0.175,0.215,0.247,0.219,0.118,0.125,0.187,0.242,0.329,
402,Martinsville,VA,3269,37.3,0.423,38700,57100,0.394,0.281,0.165,0.107,0.052,0.288,0.267,0.2,0.144,0.101,0.198,0.229,0.197,0.207,0.169,0.123,0.164,0.212,0.218,0.283,0.117,0.129,0.175,0.248,0.331,
500,Greensboro,NC,33788,36.5,0.395,40300,82800,0.395,0.298,0.165,0.095,0.047,0.294,0.265,0.202,0.15,0.089,0.195,0.219,0.219,0.214,0.152,0.143,0.18,0.214,0.243,0.221,0.115,0.139,0.186,0.239,0.321,
601,North Wilkesboro,NC,2958,38.3,0.389,38400,62500,0.381,0.258,0.183,0.126,0.052,0.257,0.253,0.218,0.167,0.105,0.2,0.2,0.219,0.216,0.164,0.118,0.157,0.206,0.266,0.253,0.116,0.139,0.2,0.207,0.338,
602,Galax,VA,1877,40.8,0.413,40400,53900,0.365,0.238,0.185,0.133,0.08,0.225,0.238,0.222,0.21,0.105,0.138,0.211,0.227,0.243,0.182,0.116,0.147,0.189,0.271,0.277,0.09,0.104,0.195,0.24,0.371,
700,Spartanburg,SC,12280,36.4,0.404,38800,69600,0.359,0.317,0.186,0.095,0.043,0.275,0.29,0.217,0.147,0.07,0.191,0.22,0.231,0.213,0.145,0.121,0.174,0.226,0.262,0.217,0.117,0.133,0.167,0.248,0.335,
800,Gastonia,NC,14684,35.4,0.416,37500,65000,0.41,0.274,0.167,0.097,0.052,0.317,0.263,0.199,0.141,0.081,0.217,0.22,0.224,0.195,0.144,0.147,0.175,0.219,0.24,0.219,0.107,0.12,0.183,0.252,0.338,
900,Charlotte,NC,47059,35.8,0.397,42700,90100,0.382,0.315,0.173,0.087,0.044,0.286,0.284,0.212,0.136,0.082,0.198,0.23,0.229,0.195,0.148,0.148,0.184,0.217,0.23,0.22,0.117,0.134,0.185,0.231,0.334,
1001,Boone,NC,2056,40,0.304,38700,65800,0.33,0.267,0.21,0.137,0.056,0.221,0.245,0.239,0.199,0.096,0.179,0.203,0.235,0.234,0.149,0.129,0.184,0.215,0.279,0.194,0.129,0.166,0.22,0.228,0.257,
1002,Morganton,NC,5190,37.6,0.373,36400,57300,0.395,0.253,0.18,0.118,0.054,0.29,0.236,0.209,0.168,0.097,0.17,0.207,0.237,0.243,0.143,0.147,0.169,0.222,0.253,0.21,0.121,0.14,0.201,0.236,0.302,
1100,Hickory,NC,12536,35.6,0.415,39000,72500,0.402,0.275,0.177,0.101,0.045,0.295,0.258,0.207,0.156,0.084,0.207,0.216,0.228,0.213,0.135,0.145,0.163,0.23,0.251,0.212,0.112,0.13,0.185,0.247,0.326,
1201,Franklin,NC,1305,41.2,0.338,42600,67700,0.34,0.296,0.181,0.127,0.057,0.244,0.21,0.201,0.23,0.115,0.167,0.202,0.241,0.237,0.154,0.135,0.207,0.232,0.232,0.195,0.082,0.135,0.197,0.279,0.307,
1202,Sylva,NC,1700,40.6,0.292,38300,52100,0.328,0.266,0.211,0.134,0.061,0.251,0.266,0.232,0.154,0.098,0.168,0.196,0.215,0.257,0.164,0.119,0.202,0.204,0.243,0.231,0.136,0.162,0.192,0.238,0.272,
1203,Asheville,NC,12197,39,0.319,40600,73400,0.365,0.265,0.189,0.117,0.063,0.265,0.236,0.221,0.176,0.102,0.183,0.216,0.229,0.219,0.153,0.151,0.177,0.214,0.247,0.211,0.132,0.153,0.18,0.236,0.298,
1204,Andrews,NC,1833,40.8,0.304,37300,107900,0.334,0.255,0.208,0.122,0.08,0.23,0.231,0.213,0.21,0.117,0.191,0.208,0.224,0.23,0.148,0.127,0.162,0.228,0.265,0.218,0.151,0.151,0.131,0.302,0.266,
1301,Bennettsville,SC,3040,34.9,0.411,30900,46300,0.394,0.332,0.164,0.08,0.03,0.309,0.298,0.216,0.119,0.058,0.197,0.24,0.231,0.214,0.118,0.136,0.167,0.213,0.252,0.232,0.125,0.153,0.163,0.229,0.33,
1302,Florence,SC,21210,35.9,0.394,33800,55100,0.381,0.333,0.172,0.079,0.036,0.28,0.298,0.216,0.127,0.08,0.199,0.238,0.222,0.191,0.15,0.14,0.194,0.219,0.225,0.223,0.129,0.143,0.185,0.227,0.316,
1400,Fayetteville,NC,24241,34.8,0.374,32800,55500,0.393,0.31,0.172,0.087,0.038,0.3,0.287,0.209,0.135,0.069,0.208,0.243,0.237,0.188,0.125,0.165,0.199,0.223,0.222,0.192,0.137,0.152,0.184,0.246,0.281,
1500,Wilmington,NC,11650,35.9,0.346,36000,66500,0.404,0.295,0.168,0.091,0.042,0.294,0.263,0.216,0.139,0.088,0.23,0.21,0.225,0.193,0.143,0.171,0.196,0.222,0.211,0.2,0.139,0.154,0.188,0.227,0.292,
1600,Wilson,NC,8483,35,0.431,35000,60500,0.398,0.321,0.171,0.077,0.032,0.298,0.307,0.203,0.125,0.067,0.196,0.237,0.249,0.177,0.141,0.134,0.183,0.205,0.24,0.238,0.107,0.138,0.183,0.26,0.312,
1701,Raleigh,NC,41170,36.9,0.389,46200,100900,0.385,0.298,0.171,0.096,0.05,0.284,0.268,0.214,0.144,0.09,0.2,0.213,0.229,0.2,0.158,0.142,0.171,0.216,0.234,0.236,0.121,0.131,0.183,0.236,0.329,
1702,Henderson,NC,2303,33.5,0.424,29400,46900,0.426,0.294,0.174,0.072,0.034,0.322,0.294,0.222,0.104,0.058,0.223,0.232,0.217,0.195,0.133,0.151,0.159,0.243,0.225,0.223,0.142,0.119,0.209,0.224,0.306,
1800,Goldsboro,NC,7655,37.6,0.396,36700,56900,0.368,0.301,0.184,0.101,0.045,0.28,0.258,0.218,0.156,0.087,0.189,0.21,0.241,0.206,0.154,0.131,0.181,0.223,0.232,0.234,0.113,0.133,0.163,0.239,0.352,
1900,Jacksonville,NC,18199,37.2,0.383,37800,63600,0.374,0.302,0.182,0.095,0.047,0.268,0.272,0.216,0.152,0.093,0.18,0.216,0.232,0.213,0.159,0.147,0.181,0.219,0.235,0.218,0.132,0.137,0.187,0.23,0.315,
2000,Virginia Beach,VA,41448,37.9,0.384,42200,71700,0.375,0.302,0.171,0.098,0.054,0.266,0.256,0.217,0.159,0.101,0.193,0.212,0.232,0.203,0.161,0.146,0.172,0.218,0.236,0.229,0.116,0.126,0.184,0.238,0.337,
2100,Washington,NC,4654,37.5,0.376,36800,56500,0.372,0.295,0.184,0.1,0.05,0.295,0.267,0.203,0.137,0.098,0.184,0.216,0.221,0.211,0.168,0.148,0.185,0.209,0.229,0.23,0.143,0.123,0.197,0.212,0.325,
2200,South Boston,VA,5459,38,0.44,36800,51100,0.389,0.282,0.18,0.1,0.049,0.288,0.246,0.222,0.153,0.091,0.167,0.187,0.241,0.226,0.18,0.118,0.138,0.227,0.257,0.26,0.086,0.105,0.195,0.241,0.373,
2300,Lynchburg,VA,7681,39.2,0.397,44500,72400,0.377,0.274,0.17,0.111,0.067,0.262,0.241,0.218,0.163,0.116,0.17,0.2,0.215,0.221,0.194,0.122,0.155,0.217,0.243,0.263,0.088,0.108,0.184,0.255,0.365,
2400,Richmond,VA,36657,37.9,0.4,47500,90900,0.406,0.274,0.173,0.092,0.055,0.285,0.244,0.212,0.152,0.106,0.201,0.196,0.227,0.2,0.176,0.143,0.158,0.217,0.233,0.249,0.113,0.122,0.173,0.234,0.358,
2500,Newport News,VA,20764,38.1,0.4,43200,71900,0.375,0.285,0.18,0.109,0.051,0.267,0.256,0.213,0.158,0.107,0.179,0.207,0.229,0.211,0.174,0.137,0.159,0.213,0.244,0.247,0.109,0.127,0.173,0.241,0.351,
2600,Roanoke Rapids,NC,5719,35.6,0.461,30900,43200,0.395,0.321,0.173,0.079,0.033,0.314,0.281,0.213,0.127,0.066,0.193,0.216,0.234,0.201,0.155,0.132,0.162,0.236,0.237,0.233,0.082,0.125,0.193,0.241,0.359,
2700,Gulfport,MS,17850,39.3,0.342,39000,60100,0.337,0.317,0.164,0.114,0.067,0.249,0.27,0.201,0.164,0.116,0.185,0.222,0.204,0.205,0.183,0.145,0.173,0.198,0.235,0.25,0.14,0.149,0.168,0.222,0.322,
