countryname,wbcode,AsiaPacific,region,incgroup2,incgroup4,obs,P1,P2,P3,P4,P5,C1,C2,C3,C4,C5,MEANp,MEANc,IGP,NL1,NL2,COR,MAcatC1,Q4_IGpri,BHQ1,BHQ2,BHQ3,BHQ4,Q4BH,Q4child,Delta50,IGEincome,S1,S2,S3
Albania,ALB,0,Europe & Central Asia,Developing economies,Upper middle income,189,0.064,0.342,0.349,0.195,0.049,0.000,0.130,0.226,0.324,0.319,7.625,11.384,0.384,0.018,0.023,0.352,0.723,0.566,0.318,0.296,0.203,0.183,0.242,0.286,5.267,0.816,0.010,0.030,0.961
Australia,AUS,1,High income,High-income economies,High income,1175,0.015,0.114,0.529,0.138,0.204,0.000,0.034,0.154,0.415,0.397,10.353,12.951,0.202,-0.336,0.027,0.252,0.742,0.385,0.305,0.316,0.223,0.157,0.354,0.238,4.341,0.275,0.093,0.049,0.858
Austria,AUT,0,High income,High-income economies,High income,335,0.020,0.118,0.455,0.390,0.018,0.000,0.004,0.100,0.629,0.266,9.306,13.544,0.420,0.147,0.015,0.460,0.706,0.496,0.230,0.311,0.276,0.182,0.214,0.293,5.714,0.245,,,
Belgium,BEL,0,High income,High-income economies,High income,428,0.149,0.355,0.164,0.235,0.098,0.015,0.056,0.178,0.405,0.346,8.087,13.402,0.326,0.094,0.015,0.438,0.811,0.486,0.425,0.281,0.163,0.132,0.262,0.269,7.508,0.183,,,
Benin,BEN,0,Sub-Saharan Africa,Developing economies,Low income,4260,0.897,0.050,0.030,0.010,0.014,0.678,0.180,0.070,0.026,0.046,1.206,3.949,0.712,1.124,-0.032,0.501,0.280,0.559,0.221,0.219,0.291,0.269,0.227,0.348,2.981,0.855,0.118,0.025,0.857
Bangladesh,BGD,1,South Asia,Developing economies,Lower middle income,,,,,,,,,,,,,,,,,,,,,,,,,,,0.538,,,
Bosnia and Herzegovina,BIH,0,Europe & Central Asia,Developing economies,Upper middle income,237,0.122,0.342,0.306,0.211,0.020,0.007,0.095,0.250,0.496,0.153,6.815,10.774,0.353,0.281,0.005,0.419,0.711,0.461,0.338,0.270,0.207,0.185,0.240,0.252,5.868,0.827,0.031,0.079,0.890
Belarus,BLR,0,Europe & Central Asia,Developing economies,Upper middle income,190,0.008,0.047,0.076,0.588,0.281,0.000,0.000,0.016,0.553,0.431,11.021,12.230,0.257,-0.638,0.038,0.307,0.405,0.521,0.347,0.323,0.130,0.200,0.196,0.247,2.506,0.343,0.050,0.044,0.905
Bolivia,BOL,0,Latin America & Caribbean,Developing economies,Lower middle income,817,0.439,0.328,0.078,0.084,0.071,0.131,0.148,0.207,0.246,0.268,4.612,10.433,0.509,0.570,-0.004,0.530,0.756,0.572,0.275,0.350,0.244,0.131,0.151,0.258,7.715,0.866,0.179,0.059,0.762
Brazil,BRA,0,Latin America & Caribbean,Developing economies,Upper middle income,2920,0.611,0.255,0.042,0.066,0.025,0.160,0.278,0.143,0.254,0.165,2.554,7.895,0.540,0.955,-0.034,0.449,0.739,0.442,0.380,0.295,0.200,0.125,0.251,0.229,6.190,0.635,0.112,0.092,0.796
Canada,CAN,1,High income,High-income economies,High income,2064,0.000,0.251,0.135,0.412,0.201,0.000,0.000,0.060,0.335,0.605,10.866,14.215,0.133,-0.283,0.019,0.186,0.788,0.367,0.319,0.258,0.226,0.197,0.362,0.249,5.713,0.269,0.023,0.018,0.959
Switzerland,CHE,0,High income,High-income economies,High income,388,0.072,0.153,0.313,0.397,0.065,0.005,0.025,0.080,0.438,0.451,10.014,11.814,0.239,-0.027,0.015,0.286,0.790,0.385,0.325,0.254,0.245,0.175,0.303,0.252,4.263,0.255,,,
Chile,CHL,0,High income,High-income economies,High income,6980,0.306,0.167,0.185,0.242,0.100,0.038,0.029,0.222,0.345,0.366,7.934,12.539,0.406,0.297,0.007,0.524,0.788,0.576,0.394,0.269,0.208,0.129,0.218,0.297,7.221,0.570,0.068,0.067,0.865
China,CHN,1,East Asia & Pacific,Developing economies,Upper middle income,3164,0.748,0.181,0.040,0.018,0.013,0.148,0.228,0.380,0.183,0.060,1.824,7.925,0.289,0.310,-0.002,0.236,0.780,0.416,0.189,0.279,0.285,0.246,0.272,0.289,7.407,0.399,0.043,0.021,0.936
Colombia,COL,0,Latin America & Caribbean,Developing economies,Upper middle income,3833,0.505,0.272,0.064,0.110,0.049,0.159,0.263,0.055,0.282,0.242,4.573,9.263,0.606,0.769,-0.012,0.533,0.684,0.477,0.415,0.289,0.205,0.091,0.245,0.225,5.903,1.095,0.177,0.084,0.739
Cyprus,CYP,0,High income,High-income economies,High income,156,0.215,0.573,0.100,0.075,0.037,0.000,0.048,0.128,0.518,0.307,5.820,13.104,0.278,0.179,0.008,0.358,0.937,0.468,0.221,0.304,0.261,0.214,0.322,0.301,9.289,0.342,,,
Czech Republic,CZE,0,High income,High-income economies,High income,512,0.005,0.006,0.170,0.770,0.050,0.000,0.000,0.027,0.800,0.173,11.612,13.134,0.284,-0.174,0.021,0.305,0.318,0.376,0.295,0.295,0.223,0.187,0.408,0.236,2.416,0.434,,,
Germany,DEU,0,High income,High-income economies,High income,858,0.045,0.033,0.301,0.555,0.065,0.002,0.010,0.103,0.544,0.340,11.603,14.101,0.386,0.420,-0.002,0.397,0.575,0.396,0.328,0.232,0.252,0.188,0.381,0.269,3.839,0.238,,,
Denmark,DNK,0,High income,High-income economies,High income,442,0.023,0.392,0.218,0.201,0.166,0.004,0.026,0.197,0.510,0.263,9.361,12.812,0.259,0.049,0.010,0.236,0.752,0.307,0.378,0.263,0.214,0.145,0.422,0.200,5.886,0.145,,,
Ecuador,ECU,0,Latin America & Caribbean,Developing economies,Upper middle income,6035,0.273,0.523,0.017,0.140,0.047,0.102,0.272,0.186,0.214,0.227,5.899,9.768,0.538,0.468,0.005,0.526,0.660,0.503,0.359,0.298,0.223,0.121,0.198,0.236,5.236,1.030,0.090,0.048,0.861
"Egypt, Arab Rep.",EGY,0,Middle East & North Africa,Developing economies,Lower middle income,3134,0.894,0.037,0.014,0.039,0.017,0.193,0.137,0.067,0.399,0.204,1.077,10.017,0.424,0.574,-0.012,0.293,0.786,0.437,0.208,0.293,0.273,0.226,0.340,0.277,9.550,0.943,0.035,0.042,0.923
Spain,ESP,0,High income,High-income economies,High income,528,0.510,0.299,0.090,0.043,0.058,0.039,0.155,0.302,0.218,0.285,3.705,13.064,0.467,0.685,-0.016,0.470,0.884,0.495,0.394,0.265,0.223,0.118,0.220,0.252,11.201,0.424,,,
Ethiopia,ETH,0,Sub-Saharan Africa,Developing economies,Low income,1516,0.898,0.070,0.011,0.018,0.004,0.557,0.095,0.171,0.102,0.074,1.436,5.537,0.630,0.533,0.007,0.450,0.413,0.517,0.194,0.212,0.329,0.265,0.215,0.330,4.620,0.357,0.103,0.130,0.767
Finland,FIN,0,High income,High-income economies,High income,496,0.086,0.440,0.128,0.259,0.087,0.003,0.038,0.112,0.488,0.359,8.373,13.824,0.271,-0.123,0.023,0.353,0.774,0.391,0.444,0.239,0.183,0.133,0.333,0.202,7.981,0.113,,,
France,FRA,0,High income,High-income economies,High income,422,0.118,0.559,0.083,0.198,0.043,0.000,0.148,0.103,0.506,0.244,6.595,12.287,0.210,0.220,-0.001,0.248,0.766,0.333,0.359,0.303,0.178,0.160,0.388,0.217,7.817,0.357,,,
United Kingdom,GBR,0,High income,High-income economies,High income,359,0.012,0.619,0.117,0.092,0.159,0.000,0.149,0.152,0.289,0.410,8.674,13.944,0.270,0.574,-0.014,0.336,0.788,0.483,0.342,0.305,0.202,0.151,0.219,0.246,7.179,0.481,,,
Ghana,GHA,0,Sub-Saharan Africa,Developing economies,Lower middle income,3391,0.760,0.057,0.159,0.017,0.006,0.225,0.124,0.408,0.156,0.086,2.404,8.349,0.425,0.374,0.005,0.380,0.677,0.548,0.198,0.262,0.278,0.263,0.130,0.341,7.316,0.562,0.098,0.015,0.886
Guinea,GIN,0,Sub-Saharan Africa,Developing economies,Low income,2532,0.940,0.028,0.013,0.012,0.008,0.680,0.166,0.071,0.034,0.049,0.612,3.447,0.639,0.831,-0.014,0.330,0.301,0.469,0.206,0.212,0.207,0.375,0.358,0.396,3.049,0.343,0.153,0.013,0.834
Greece,GRC,0,High income,High-income economies,High income,116,0.131,0.617,0.140,0.112,0.000,0.000,0.107,0.091,0.602,0.199,6.308,11.983,0.307,0.036,0.023,0.341,0.856,0.492,0.262,0.278,0.284,0.176,0.281,0.272,6.985,0.313,,,
Guatemala,GTM,0,Latin America & Caribbean,Developing economies,Lower middle income,2412,0.856,0.081,0.022,0.023,0.019,0.493,0.235,0.136,0.078,0.058,1.598,5.676,0.794,0.887,-0.008,0.553,0.448,0.585,0.236,0.320,0.286,0.158,0.149,0.271,4.327,1.015,0.232,0.048,0.720
