province.name,province,PR_ID,number.children.census,number.children,number.children.weighted,rank.slope,rank.slope.se,rank.intercept,rank.intercept.se,rank.rsquared,interquartile.income.range,parent.gini,share.between.p25p75,parent.mean.income,child.mean.income,parent.income.p25,child.income.p25,parent.median.income,child.median.income,parent.income.p75,child.income.p75,parent.income.p90,child.income.p90,parent.income.p99,child.income.p99,parent.percent.filing.french,child.percent.filing.french,parent.percent.notmarried,lim.intercept,lim.intercept.se,lim.slope,lim.slope.se,beta.intercept,beta.intercept.se,beta.slope,beta.slope.se,p11,p12,p13,p14,p15,p21,p22,p23,p24,p25,p31,p32,p33,p34,p35,p41,p42,p43,p44,p45,p51,p52,p53,p54,p55,number.parent.quintile.1,number.parent.quintile.2,number.parent.quintile.3,number.parent.quintile.4,number.parent.quintile.5,number.children.quintile.1,number.children.quintile.2,number.children.quintile.3,number.children.quintile.4,number.children.quintile.5,rank.share.above.parents
Newfoundland and Labrador,10,10,87025,58994,84056,0.273,0.004,35.3,0.16,0.064,"22,024",0.386,0.466,29395,45896,15027,24398,24390,39722,37051,59437,54668,80036,116130,160634,0.002,0.003,0.219,0.293,0.002,-0.0022,0.0001,8.69,0.028,0.18,0.0028,0.321,0.273,0.175,0.144,0.087,0.227,0.267,0.208,0.179,0.118,0.175,0.227,0.21,0.214,0.175,0.155,0.193,0.19,0.23,0.232,0.138,0.155,0.18,0.233,0.295,28933,24843,14035,8991,7254,20079,20751,16073,15204,11949,0.7235
Prince Edward Island,11,11,18105,12407,16772,0.245,0.008,35.1,0.359,0.055,"21,875",0.361,0.514,30739,45617,16794,25839,26438,38912,38670,56146,54828,76786,116743,177495,0.005,0.003,0.23,0.301,0.006,-0.0021,0.0001,8.91,0.064,0.159,0.0064,0.278,0.323,0.205,0.117,0.077,0.215,0.311,0.219,0.166,0.088,0.17,0.264,0.232,0.194,0.141,0.156,0.223,0.226,0.195,0.201,0.138,0.176,0.184,0.223,0.279,4915,5122,3255,2067,1412,3584,4762,3587,2773,2065,0.7075
Nova Scotia,12,12,121675,79329,112911,0.251,0.003,32.6,0.149,0.061,"25,535",0.377,0.524,35158,45337,18597,23466,29988,38144,44132,56780,63627,78335,137829,181224,0.004,0.004,0.247,0.345,0.002,-0.0024,0,8.49,0.026,0.192,0.0026,0.35,0.283,0.176,0.119,0.071,0.267,0.29,0.199,0.151,0.092,0.219,0.249,0.212,0.185,0.135,0.187,0.215,0.21,0.204,0.184,0.167,0.179,0.19,0.207,0.256,27900,30455,22671,17373,14512,28746,28956,22048,18605,14556,0.6268
New Brunswick,13,13,98625,67575,91494,0.28,0.003,31.6,0.156,0.077,"24,410",0.382,0.517,32871,44199,17434,23596,28401,37520,41844,56039,59956,76711,124726,167772,0.223,0.207,0.229,0.35,0.003,-0.0026,0.0001,8.54,0.025,0.189,0.0025,0.352,0.304,0.17,0.112,0.061,0.257,0.296,0.202,0.156,0.088,0.205,0.254,0.214,0.191,0.135,0.171,0.215,0.208,0.214,0.192,0.154,0.182,0.19,0.209,0.264,24781,25743,17908,12975,10086,23124,24534,17703,14955,11178,0.6585
Quebec,24,24,842950,531016,796636,0.249,0.001,36.7,0.058,0.067,"29,469",0.385,0.506,39700,50794,20679,27836,33361,43232,50148,62284,74013,85558,154125,205038,0.905,0.862,0.225,0.315,0.001,-0.002,0,8.67,0.009,0.186,0.0009,0.29,0.274,0.2,0.145,0.091,0.208,0.264,0.227,0.18,0.121,0.168,0.228,0.233,0.208,0.162,0.149,0.198,0.215,0.227,0.211,0.128,0.161,0.187,0.226,0.298,169454,186870,159096,134630,146586,155112,185210,169114,153479,133721,0.6356
Ontario,35,35,1191760,796804,1057533,0.225,0.001,41,0.059,0.047,"29,283",0.37,0.518,44249,57938,24705,29378,38421,48522,53988,70052,77145,96446,174899,263393,0.022,0.015,0.241,0.283,0.001,-0.0018,0,8.67,0.009,0.191,0.0009,0.284,0.208,0.193,0.174,0.141,0.213,0.2,0.209,0.202,0.176,0.177,0.179,0.21,0.223,0.211,0.155,0.156,0.194,0.231,0.263,0.138,0.133,0.162,0.214,0.352,182904,185601,227847,238059,223121,202773,183554,204463,221499,245243,0.6244
Manitoba,46,46,139510,91656,122142,0.325,0.003,31.2,0.147,0.102,"28,974",0.385,0.505,36518,48550,17887,23984,32595,41470,46861,60542,66145,83362,139407,204691,0.008,0.004,0.243,0.4,0.002,-0.0036,0,6.98,0.026,0.341,0.0026,0.414,0.221,0.171,0.119,0.076,0.243,0.247,0.221,0.172,0.117,0.184,0.214,0.238,0.208,0.156,0.152,0.188,0.219,0.229,0.212,0.131,0.159,0.192,0.222,0.296,31493,25154,25361,22432,17702,30203,25581,25121,22164,19074,0.6298
Saskatchewan,47,47,132715,81580,122520,0.226,0.003,41.5,0.158,0.051,"30,863",0.374,0.491,39768,56526,20197,29783,34860,47853,51060,68711,71898,93506,144886,246706,0.002,0.002,0.196,0.272,0.002,-0.0019,0,8.19,0.026,0.238,0.0025,0.277,0.213,0.195,0.174,0.141,0.189,0.211,0.208,0.207,0.185,0.152,0.186,0.222,0.23,0.211,0.13,0.167,0.204,0.235,0.264,0.119,0.14,0.176,0.233,0.333,27061,25426,23285,24448,22300,22237,22803,24520,26059,26901,0.6574
Alberta,48,48,319530,184273,284548,0.206,0.002,44.4,0.115,0.042,"35,394",0.395,0.445,48544,65225,24147,31693,41137,51476,59541,74977,86605,107441,201134,342229,0.004,0.003,0.234,0.251,0.001,-0.0016,0,8.71,0.018,0.194,0.0017,0.259,0.188,0.187,0.181,0.185,0.196,0.179,0.197,0.209,0.219,0.165,0.171,0.2,0.217,0.246,0.134,0.152,0.19,0.232,0.291,0.122,0.126,0.161,0.217,0.375,51144,45517,48212,63562,76112,49112,45653,52445,59853,77486,0.6179
British Columbia,59,59,344845,206183,304239,0.184,0.002,39.6,0.113,0.034,"32,022",0.357,0.474,47185,53225,26940,27764,42076,45907,58962,64797,82594,88202,170270,222065,0.002,0.002,0.252,0.294,0.002,-0.0017,0,8.73,0.017,0.176,0.0017,0.298,0.212,0.202,0.168,0.12,0.228,0.207,0.216,0.198,0.151,0.193,0.197,0.226,0.216,0.169,0.171,0.177,0.217,0.235,0.2,0.16,0.159,0.197,0.228,0.256,48139,44135,57774,74440,79749,62688,56938,63844,64263,56506,0.5495
Yukon,60,60,2965,1691,2940,0.248,0.017,36.3,1.048,0.068,"37,597",0.357,0.393,42444,50716,20713,25837,41955,45687,58310,66450,74737,86511,126486,164275,0.004,0.001,0.358,0.382,0.015,-0.0029,0.0002,8.62,0.157,0.187,0.0152,0.371,0.227,0.145,0.141,0.117,0.23,0.198,0.184,0.226,0.161,0.206,0.185,0.196,0.201,0.212,0.167,0.189,0.219,0.224,0.202,0.143,0.129,0.178,0.255,0.295,642,469,352,734,744,656,555,538,607,583,0.5702
"Northwest Territories, Nunavut",61,61,8220,3621,7146,0.281,0.011,34.1,0.541,0.078,"34,698",0.482,0.328,29036,46111,8223,18929,21536,38926,42921,63431,65176,87686,107888,149646,0.014,0.004,0.344,0.426,0.008,-0.0029,0.0002,8.67,0.091,0.175,0.0093,0.397,0.202,0.165,0.135,0.1,0.358,0.19,0.143,0.162,0.147,0.293,0.181,0.178,0.15,0.197,0.231,0.163,0.127,0.193,0.285,0.14,0.129,0.145,0.194,0.391,3220,1252,790,875,1009,2273,1290,1132,1127,1325,0.6891
Canada,0,0,3307920,2115129,3002936,0.242,0.001,38.3,0.033,0.059,"30,733",0.382,0.5,42032,54483,21907,27952,36087,45603,52640,66183,75686,91479,164571,238685,0.244,0.23,0.235,0.303,0,-0.002,0,8.52,0.005,0.201,0.0005,0.301,0.239,0.191,0.155,0.114,0.217,0.234,0.214,0.189,0.146,0.177,0.201,0.219,0.215,0.188,0.154,0.173,0.203,0.229,0.241,0.137,0.145,0.175,0.22,0.323,600587,600588,600587,600587,600587,600587,600587,600587,600588,600587,0.6252
