province.name,province,PR_ID,number.children,number.children.weighted,rank.slope,rank.slope.se,rank.intercept,rank.intercept.se,rank.rsquared,interquartile.income.range,parent.gini,share.between.p25p75,parent.mean.income,child.mean.income,parent.income.p25,child.income.p25,parent.median.income,child.median.income,parent.income.p75,child.income.p75,parent.income.p90,child.income.p90,parent.income.p99,child.income.p99,parent.percent.filing.french,child.percent.filing.french,parent.percent.notmarried,lim.intercept,lim.intercept.se,lim.slope,lim.slope.se,beta.intercept,beta.intercept.se,beta.slope,beta.slope.se,p11,p12,p13,p14,p15,p21,p22,p23,p24,p25,p31,p32,p33,p34,p35,p41,p42,p43,p44,p45,p51,p52,p53,p54,p55,number.parent.quintile.1,number.parent.quintile.2,number.parent.quintile.3,number.parent.quintile.4,number.parent.quintile.5,number.children.quintile.1,number.children.quintile.2,number.children.quintile.3,number.children.quintile.4,number.children.quintile.5
Newfoundland and Labrador,10,10,"33,337","41,983",0.277,0.005,34.8,0.2,0.064,"21,220",0.387,0.452,"28,062","44,948","14,288","24,093","23,303","39,047","35,508","58,363","52,397","78,888","110,117","150,990",0.002,0.002,0.219,0.214,0.003,-0.0019,0.00007,8.63,0.040,0.184,0.0040,0.327,0.273,0.177,0.139,0.084,0.223,0.270,0.212,0.178,0.116,0.179,0.225,0.215,0.210,0.171,0.156,0.199,0.182,0.229,0.234,0.141,0.160,0.175,0.235,0.289,"15,460","12,504","6,654","4,120","3,244","10,271","10,556","8,098","7,399","5,659"
Prince Edward Island,11,11,"6,732","8,382",0.240,0.011,33.9,0.5,0.052,"21,254",0.363,0.507,"29,756","43,958","16,287","24,808","25,559","37,617","37,541","54,183","52,907","74,784","114,531","172,275",0.005,0.003,0.238,0.219,0.007,-0.0017,0.00016,8.91,0.093,0.154,0.0092,0.294,0.325,0.199,0.104,0.078,0.227,0.320,0.218,0.157,0.078,0.185,0.264,0.249,0.176,0.127,0.162,0.225,0.214,0.201,0.198,0.160,0.186,0.184,0.217,0.253,"2,560","2,621","1,586",973,643,"1,934","2,435","1,795","1,282",936
Nova Scotia,12,12,"43,340","56,790",0.249,0.004,32.1,0.2,0.060,"25,345",0.381,0.517,"34,241","44,366","17,837","22,669","29,241","37,497","43,182","55,962","62,305","77,236","132,861","173,144",0.004,0.004,0.252,0.253,0.003,-0.0018,0.00006,8.46,0.037,0.192,0.0037,0.358,0.274,0.180,0.119,0.069,0.274,0.290,0.197,0.151,0.089,0.232,0.243,0.206,0.188,0.131,0.193,0.217,0.213,0.198,0.179,0.178,0.178,0.184,0.199,0.260,"14,890","15,512","11,154","8,305","6,929","15,157","14,443","10,988","9,168","7,034"
New Brunswick,13,13,"37,136","45,568",0.276,0.005,30.9,0.2,0.074,"24,011",0.387,0.511,"32,084","42,822","16,897","22,861","27,612","36,658","40,908","54,612","58,721","75,392","124,636","159,536",0.224,0.207,0.234,0.262,0.003,-0.0021,0.00007,8.50,0.037,0.190,0.0036,0.363,0.307,0.167,0.107,0.057,0.262,0.299,0.200,0.151,0.087,0.215,0.256,0.211,0.187,0.131,0.178,0.217,0.215,0.210,0.181,0.169,0.179,0.193,0.203,0.256,"12,912","13,041","8,698","6,166","4,751","12,070","12,395","8,761","7,135","5,206"
Quebec,24,24,"287,556","396,680",0.251,0.001,35.3,0.1,0.067,"29,162",0.389,0.502,"38,850","49,012","19,969","26,582","32,534","41,937","49,131","60,630","72,809","83,445","151,394","194,140",0.907,0.866,0.228,0.247,0.001,-0.0017,0.00002,8.59,0.013,0.190,0.0013,0.308,0.275,0.195,0.140,0.082,0.220,0.268,0.226,0.174,0.112,0.179,0.228,0.233,0.204,0.155,0.162,0.200,0.214,0.220,0.203,0.142,0.164,0.186,0.219,0.289,"88,695","95,111","78,091","64,836","69,946","83,971","93,723","83,690","73,368","61,928"
Ontario,35,35,"422,839","523,816",0.237,0.001,38.9,0.1,0.051,"29,259",0.374,0.518,"43,554","56,062","24,057","27,433","37,816","47,159","53,317","68,533","76,195","94,642","172,878","255,326",0.023,0.015,0.242,0.231,0.001,-0.0016,0.00002,8.46,0.014,0.206,0.0013,0.313,0.205,0.187,0.166,0.128,0.231,0.200,0.206,0.198,0.165,0.191,0.177,0.207,0.222,0.203,0.171,0.156,0.191,0.228,0.255,0.150,0.134,0.159,0.211,0.345,"94,629","94,075","112,593","115,393","107,126","111,490","90,842","99,501","107,146","114,836"
Manitoba,46,46,"49,677","60,079",0.339,0.004,29.2,0.2,0.110,"29,222",0.393,0.496,"35,442","46,447","16,725","21,775","31,529","39,946","45,947","58,905","64,824","81,855","135,972","195,282",0.009,0.004,0.245,0.350,0.003,-0.0035,0.00006,6.65,0.038,0.368,0.0038,0.438,0.215,0.166,0.113,0.068,0.262,0.242,0.222,0.164,0.111,0.203,0.215,0.230,0.205,0.148,0.166,0.186,0.219,0.223,0.206,0.142,0.164,0.188,0.208,0.298,"16,634","12,468","12,146","10,545","8,286","16,512","12,453","12,062","10,273","8,779"
Saskatchewan,47,47,"46,186","60,828",0.235,0.004,40.1,0.2,0.053,"30,713",0.381,0.485,"38,320","54,886","18,895","27,968","33,565","46,638","49,609","67,743","70,207","93,083","140,813","237,639",0.002,0.001,0.197,0.224,0.003,-0.0019,0.00005,8.02,0.038,0.252,0.0037,0.302,0.204,0.190,0.168,0.136,0.201,0.211,0.203,0.199,0.186,0.160,0.185,0.217,0.229,0.210,0.143,0.164,0.199,0.231,0.263,0.128,0.144,0.175,0.225,0.328,"14,728","12,774","11,328","11,706","10,292","12,342","11,284","11,879","12,404","12,919"
Alberta,48,48,"101,089","139,731",0.215,0.003,43.1,0.2,0.046,"35,684",0.401,0.442,"46,866","63,467","22,532","30,055","39,694","50,681","58,216","74,254","84,665","106,449","192,297","324,935",0.004,0.003,0.236,0.200,0.002,-0.0014,0.00003,8.50,0.026,0.211,0.0025,0.277,0.184,0.180,0.177,0.181,0.206,0.177,0.193,0.208,0.217,0.176,0.168,0.194,0.217,0.244,0.143,0.151,0.186,0.230,0.290,0.131,0.123,0.157,0.213,0.376,"27,542","23,251","23,461","30,026","35,450","26,476","22,138","25,089","28,820","37,207"
British Columbia,59,59,"111,052","151,079",0.194,0.003,38.2,0.2,0.037,"32,390",0.362,0.472,"46,598","52,010","26,113","26,315","41,538","45,139","58,503","64,261","82,068","87,739","168,211","216,176",0.002,0.002,0.254,0.237,0.002,-0.0016,0.00003,8.54,0.025,0.191,0.0024,0.324,0.205,0.190,0.166,0.115,0.242,0.207,0.212,0.193,0.146,0.202,0.194,0.225,0.214,0.165,0.184,0.174,0.214,0.231,0.197,0.168,0.157,0.194,0.225,0.256,"25,088","22,291","28,651","36,202","38,846","33,624","27,836","30,969","31,310","27,340"
