province.name,province,PR_ID,number.children,number.children.weighted,rank.slope,rank.slope.se,rank.intercept,rank.intercept.se,rank.rsquared,interquartile.income.range,parent.gini,share.between.p25p75,parent.mean.income,child.mean.income,parent.income.p25,child.income.p25,parent.median.income,child.median.income,parent.income.p75,child.income.p75,parent.income.p90,child.income.p90,parent.income.p99,child.income.p99,parent.percent.filing.french,child.percent.filing.french,parent.percent.notmarried,lim.intercept,lim.intercept.se,lim.slope,lim.slope.se,beta.intercept,beta.intercept.se,beta.slope,beta.slope.se,p11,p12,p13,p14,p15,p21,p22,p23,p24,p25,p31,p32,p33,p34,p35,p41,p42,p43,p44,p45,p51,p52,p53,p54,p55,number.parent.quintile.1,number.parent.quintile.2,number.parent.quintile.3,number.parent.quintile.4,number.parent.quintile.5,number.children.quintile.1,number.children.quintile.2,number.children.quintile.3,number.children.quintile.4,number.children.quintile.5
Newfoundland and Labrador,10,10,"25,653","42,067",0.267,0.005,35.9,0.2,0.063,"22,719",0.383,0.479,"30,728","46,843","15,758","24,764","25,459","40,423","38,477","60,460","56,757","81,154","119,599","168,493",0.002,0.003,0.219,0.384,0.004,-0.0028,0.00008,8.78,0.039,0.174,0.0039,0.312,0.274,0.172,0.15,0.091,0.231,0.264,0.203,0.181,0.121,0.17,0.229,0.203,0.218,0.18,0.154,0.187,0.199,0.231,0.23,0.135,0.149,0.184,0.232,0.3,13468,12338,7381,4870,4010,9807,10194,7970,7805,6290
Prince Edward Island,11,11,"5,674","8,388",0.245,0.011,36.4,0.5,0.057,"22,580",0.359,0.521,"31,721","47,276","17,275","26,842","27,286","40,228","39,855","58,081","56,104","78,704","121,840","180,265",0.004,0.004,0.221,0.392,0.009,-0.0027,0.00019,8.95,0.089,0.159,0.0088,0.257,0.321,0.212,0.134,0.075,0.2,0.301,0.221,0.178,0.101,0.153,0.263,0.213,0.215,0.156,0.149,0.22,0.238,0.189,0.204,0.117,0.167,0.184,0.229,0.304,2355,2502,1669,1094,769,1649,2327,1791,1491,1129
Nova Scotia,12,12,"35,988","56,119",0.251,0.004,33.2,0.2,0.062,"25,660",0.373,0.532,"36,086","46,320","19,453","24,243","30,840","38,765","45,113","57,519","64,930","79,427","140,995","188,333",0.003,0.004,0.242,0.449,0.004,-0.0031,0.00007,8.54,0.036,0.19,0.0035,0.34,0.296,0.17,0.12,0.073,0.259,0.291,0.202,0.152,0.096,0.205,0.256,0.219,0.181,0.14,0.181,0.212,0.207,0.21,0.19,0.155,0.18,0.197,0.216,0.251,13011,14940,11517,9068,7583,13589,14510,11060,9437,7522
New Brunswick,13,13,"30,434","45,919",0.281,0.004,32.5,0.2,0.078,"24,734",0.378,0.522,"33,653","45,567","18,015","24,283","29,119","38,522","42,748","57,405","60,944","78,301","124,862","176,135",0.22,0.207,0.224,0.446,0.004,-0.0033,0.00008,8.62,0.034,0.185,0.0034,0.339,0.301,0.175,0.118,0.067,0.251,0.292,0.204,0.164,0.089,0.194,0.252,0.217,0.197,0.14,0.164,0.212,0.2,0.22,0.205,0.137,0.186,0.188,0.216,0.273,11868,12697,9211,6809,5335,11051,12137,8941,7819,5971
Quebec,24,24,"243,426","399,904",0.244,0.001,38.1,0.1,0.065,"29,669",0.38,0.509,"40,545","52,563","21,427","29,087","34,175","44,538","51,096","63,884","75,188","87,707","156,479","214,998",0.902,0.857,0.223,0.39,0.001,-0.0025,0.00002,8.79,0.012,0.179,0.0012,0.266,0.274,0.206,0.151,0.102,0.193,0.258,0.229,0.189,0.132,0.154,0.228,0.234,0.214,0.17,0.135,0.196,0.215,0.234,0.22,0.113,0.158,0.188,0.234,0.307,80747,91744,80991,69789,76633,71133,91468,85413,80102,71787
Ontario,35,35,"373,933","533,671",0.209,0.001,43.2,0.1,0.041,"29,257",0.366,0.519,"44,933","59,782","25,384","31,234","39,004","49,842","54,642","71,545","78,037","98,201","176,990","271,065",0.021,0.015,0.239,0.34,0.001,-0.0021,0.00002,8.92,0.013,0.171,0.0012,0.248,0.211,0.2,0.184,0.157,0.19,0.2,0.213,0.208,0.189,0.161,0.18,0.214,0.225,0.22,0.138,0.157,0.198,0.235,0.273,0.125,0.132,0.166,0.217,0.36,88258,91514,115248,122662,115989,91263,92703,104954,114347,130405
Manitoba,46,46,"41,975","62,056",0.307,0.004,33.4,0.2,0.093,"28,590",0.377,0.515,"37,562","50,588","19,136","26,213","33,574","42,914","47,725","62,002","67,275","84,628","140,877","212,064",0.007,0.005,0.242,0.457,0.003,-0.0038,0.00006,7.39,0.036,0.306,0.0035,0.381,0.228,0.178,0.127,0.086,0.22,0.253,0.22,0.183,0.124,0.163,0.213,0.246,0.213,0.165,0.135,0.191,0.219,0.236,0.219,0.12,0.154,0.196,0.237,0.293,14856,12683,13213,11888,9416,13688,13126,13059,11889,10294
Saskatchewan,47,47,"35,391","61,686",0.214,0.004,43.1,0.2,0.047,"30,838",0.365,0.498,"41,198","58,143","21,625","31,518","36,154","48,995","52,463","69,561","73,542","93,949","149,577","256,145",0.002,0.002,0.194,0.328,0.003,-0.0022,0.00006,8.45,0.037,0.217,0.0035,0.237,0.227,0.201,0.184,0.15,0.172,0.211,0.215,0.218,0.184,0.141,0.188,0.228,0.231,0.212,0.113,0.17,0.211,0.24,0.266,0.108,0.135,0.176,0.241,0.339,12327,12652,11957,12742,12008,9894,11519,12641,13650,13981
Alberta,48,48,"83,175","144,804",0.193,0.003,45.8,0.2,0.038,"35,091",0.388,0.447,"50,163","66,922","25,752","33,168","42,462","52,226","60,843","75,727","88,448","108,427","207,377","356,239",0.004,0.003,0.23,0.31,0.002,-0.0019,0.00004,8.97,0.025,0.171,0.0024,0.232,0.195,0.196,0.186,0.191,0.182,0.183,0.202,0.212,0.221,0.153,0.175,0.206,0.217,0.249,0.125,0.153,0.195,0.235,0.292,0.112,0.128,0.166,0.221,0.373,23600,22266,24749,33534,40656,22636,23511,27353,31029,40276
British Columbia,59,59,"95,120","153,143",0.172,0.002,41.1,0.2,0.03,"31,662",0.353,0.477,"47,765","54,422","27,724","29,088","42,586","46,597","59,386","65,335","83,029","88,659","172,611","230,323",0.002,0.002,0.25,0.356,0.002,-0.0019,0.00004,8.96,0.024,0.158,0.0023,0.265,0.22,0.218,0.17,0.127,0.212,0.206,0.221,0.204,0.157,0.181,0.2,0.227,0.219,0.173,0.157,0.18,0.221,0.239,0.204,0.15,0.161,0.201,0.232,0.256,23047,21841,29119,38235,40901,29062,29098,32874,32948,29161
