year,cdn,us
1976,8.3,10.4
1977,8,10.8
1978,8.1,10.6
1979,8.5,11.1
1980,8.9,10.7
1981,8.5,11.1
1982,8,11.3
1983,7.9,11.5
1984,7.9,12.5
1985,8.2,12.6
1986,8.6,12.2
1987,9.4,13.3
1988,10.2,14.9
1989,11.3,14.5
1990,10,14.5
1991,10,13.9
1992,10.2,15
1993,11,14.6
1994,11.1,14.7
1995,10.6,15.3
1996,11.2,16
1997,12.2,16.6
1998,12.7,16.9
1999,12.9,17.7
2000,14.3,18.3
2001,13.5,17.3
2002,13.1,17.1
2003,13,17.2
2004,13.7,18.3
2005,14.4,19.4
2006,15.2,20.1
2007,15.3,19.9
2008,14,19.5
2009,13,18.5
2010,13.3,19.8
2011,13.2,19.6
2012,12.8,20.8
2013,12.8,19.6
2014,13.1,20.2
2015,14.2,
